starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 03 18:43:13 2022	1670110993	0	223	223	223
Sat Dec 03 18:43:12 2022	1670110992	15	212	226	211
Sat Dec 03 18:43:13 2022	1670110993	33	297	330	297
Sat Dec 03 18:43:13 2022	1670110993	34	405	439	405
Sat Dec 03 18:43:13 2022	1670110993	36	506	542	506
Sat Dec 03 18:43:13 2022	1670110993	36	608	644	607
Sat Dec 03 18:43:13 2022	1670110993	35	716	751	716
Sat Dec 03 18:43:13 2022	1670110993	37	826	863	826
Sat Dec 03 18:43:13 2022	1670110993	37	939	976	939
Sat Dec 03 18:43:13 2022	1670110993	0	989	989	989
Sat Dec 03 18:43:14 2022	1670110994	0	1005	1005	1005
Sat Dec 03 18:43:26 2022	1670111006	0	1045	1045	1045
Sat Dec 03 18:43:26 2022	1670111006	0	1045	1045	1045
Sat Dec 03 18:43:25 2022	1670111005	0	1046	1046	1046
Sat Dec 03 18:43:25 2022	1670111005	0	1052	1052	1052
Sat Dec 03 18:43:25 2022	1670111005	0	1059	1059	1059
Sat Dec 03 18:43:26 2022	1670111006	0	1059	1059	1059
Sat Dec 03 18:43:27 2022	1670111007	0	1060	1060	1060
Sat Dec 03 18:43:26 2022	1670111006	0	1061	1061	1061
Sat Dec 03 18:43:25 2022	1670111005	0	1063	1063	1063
Sat Dec 03 18:43:25 2022	1670111005	0	1064	1064	1063
Sat Dec 03 18:43:25 2022	1670111005	0	1064	1064	1064
Sat Dec 03 18:43:26 2022	1670111006	0	1064	1064	1064
Sat Dec 03 18:43:27 2022	1670111007	0	1064	1064	1064
Sat Dec 03 18:43:26 2022	1670111006	0	1065	1065	1065
Sat Dec 03 18:43:14 2022	1670110994	0	1065	1065	1065
Sat Dec 03 18:43:22 2022	1670111002	0	1067	1067	1066
Sat Dec 03 18:43:25 2022	1670111005	0	1068	1068	1068
Sat Dec 03 18:43:27 2022	1670111007	0	1068	1068	1068
Sat Dec 03 18:43:26 2022	1670111006	0	1068	1068	1068
Sat Dec 03 18:43:26 2022	1670111006	0	1069	1069	1069
Sat Dec 03 18:43:26 2022	1670111006	0	1071	1071	1071
Sat Dec 03 18:43:23 2022	1670111003	0	1071	1071	1071
Sat Dec 03 18:43:14 2022	1670110994	0	1072	1072	1071
Sat Dec 03 18:43:23 2022	1670111003	0	1072	1072	1072
Sat Dec 03 18:43:24 2022	1670111004	0	1073	1073	1073
Sat Dec 03 18:43:25 2022	1670111005	0	1073	1073	1073
Sat Dec 03 18:43:22 2022	1670111002	0	1074	1074	1074
Sat Dec 03 18:43:23 2022	1670111003	0	1074	1074	1074
Sat Dec 03 18:43:16 2022	1670110996	0	1075	1075	1075
Sat Dec 03 18:43:14 2022	1670110994	0	1076	1076	1076
Sat Dec 03 18:43:14 2022	1670110994	0	1077	1077	1077
Sat Dec 03 18:43:23 2022	1670111003	0	1077	1077	1077
Sat Dec 03 18:43:24 2022	1670111004	0	1077	1077	1077
Sat Dec 03 18:43:23 2022	1670111003	0	1078	1078	1078
Sat Dec 03 18:43:14 2022	1670110994	0	1079	1079	1079
Sat Dec 03 18:43:22 2022	1670111002	0	1079	1079	1079
Sat Dec 03 18:43:14 2022	1670110994	0	1080	1080	1080
Sat Dec 03 18:43:25 2022	1670111005	0	1080	1080	1080
Sat Dec 03 18:43:23 2022	1670111003	0	1082	1082	1081
Sat Dec 03 18:43:15 2022	1670110995	0	1083	1083	1083
Sat Dec 03 18:43:22 2022	1670111002	0	1083	1083	1083
Sat Dec 03 18:43:13 2022	1670110993	0	1085	1085	1085
Sat Dec 03 18:43:24 2022	1670111004	0	1085	1085	1085
Sat Dec 03 18:43:23 2022	1670111003	0	1085	1085	1085
Sat Dec 03 18:43:23 2022	1670111003	0	1086	1086	1086
Sat Dec 03 18:43:25 2022	1670111005	0	1087	1087	1087
Sat Dec 03 18:43:15 2022	1670110995	0	1087	1087	1087
Sat Dec 03 18:43:14 2022	1670110994	0	1087	1087	1087
Sat Dec 03 18:43:23 2022	1670111003	0	1087	1087	1087
Sat Dec 03 18:43:13 2022	1670110993	0	1089	1089	1089
Sat Dec 03 18:43:24 2022	1670111004	0	1090	1090	1090
Sat Dec 03 18:43:13 2022	1670110993	0	1090	1090	1090
Sat Dec 03 18:43:24 2022	1670111004	0	1092	1092	1092
Sat Dec 03 18:43:13 2022	1670110993	0	1093	1093	1093
Sat Dec 03 18:43:24 2022	1670111004	0	1093	1093	1093
Sat Dec 03 18:43:15 2022	1670110995	0	1093	1093	1093
Sat Dec 03 18:43:14 2022	1670110994	0	1093	1093	1093
Sat Dec 03 18:43:15 2022	1670110995	0	1094	1094	1094
Sat Dec 03 18:43:13 2022	1670110993	36	1058	1094	1058
Sat Dec 03 18:43:13 2022	1670110993	0	1095	1095	1095
Sat Dec 03 18:43:13 2022	1670110993	0	1097	1097	1097
Sat Dec 03 18:43:24 2022	1670111004	0	1101	1101	1101
Sat Dec 03 18:43:16 2022	1670110996	0	1103	1103	1103
Sat Dec 03 18:43:16 2022	1670110996	0	1107	1107	1107
Sat Dec 03 18:43:24 2022	1670111004	0	1109	1109	1109
Sat Dec 03 18:43:24 2022	1670111004	0	1119	1119	1119
Sat Dec 03 18:43:15 2022	1670110995	0	1123	1123	1123
Sat Dec 03 18:43:15 2022	1670110995	0	1125	1125	1125
Sat Dec 03 18:43:16 2022	1670110996	0	1140	1140	1140
Sat Dec 03 18:43:16 2022	1670110996	0	1144	1144	1143
Sat Dec 03 18:43:16 2022	1670110996	0	1149	1149	1149
Sat Dec 03 18:43:15 2022	1670110995	0	1156	1156	1156
Sat Dec 03 18:43:15 2022	1670110995	0	1159	1159	1159
Sat Dec 03 18:43:16 2022	1670110996	0	1161	1161	1161
Sat Dec 03 18:43:15 2022	1670110995	0	1163	1163	1163
Sat Dec 03 18:43:16 2022	1670110996	0	1167	1167	1167
Sat Dec 03 18:43:22 2022	1670111002	0	1378	1378	1378
Sat Dec 03 18:43:13 2022	1670110993	38	1350	1388	1350
Sat Dec 03 18:43:16 2022	1670110996	0	3105	3105	3105
Sat Dec 03 18:43:20 2022	1670111000	0	3423	3423	3423
Sat Dec 03 18:43:17 2022	1670110997	0	5158	5158	5158
Sat Dec 03 18:43:17 2022	1670110997	0	5435	5435	5435
Sat Dec 03 18:43:17 2022	1670110997	0	5445	5445	5445
Sat Dec 03 18:43:17 2022	1670110997	0	5450	5450	5450
Sat Dec 03 18:43:17 2022	1670110997	0	5452	5452	5452
Sat Dec 03 18:43:17 2022	1670110997	0	5456	5456	5456
Sat Dec 03 18:43:17 2022	1670110997	0	5456	5456	5456
Sat Dec 03 18:43:17 2022	1670110997	0	5457	5457	5456
Sat Dec 03 18:43:17 2022	1670110997	0	5458	5458	5458
