starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 03 15:52:33 2022	1670100753	23	2828	2851	1137
Sat Dec 03 15:54:39 2022	1670100879	11	28674	28685	2238
Sat Dec 03 15:54:07 2022	1670100847	10	30001	30012	0
Sat Dec 03 15:53:07 2022	1670100787	10	30005	30015	0
Sat Dec 03 15:55:37 2022	1670100937	12	30008	30019	0
Sat Dec 03 15:54:06 2022	1670100846	11	30010	30021	0
Sat Dec 03 15:56:37 2022	1670100997	13	30009	30022	0
Sat Dec 03 15:57:10 2022	1670101030	0	30022	30022	2818
Sat Dec 03 15:53:06 2022	1670100786	12	30012	30024	0
Sat Dec 03 15:55:10 2022	1670100910	0	30026	30026	2363
Sat Dec 03 15:55:08 2022	1670100908	14	30013	30027	0
Sat Dec 03 15:55:37 2022	1670100937	12	30016	30028	0
Sat Dec 03 15:57:10 2022	1670101030	15	30013	30028	0
Sat Dec 03 15:55:07 2022	1670100907	12	30019	30031	0
Sat Dec 03 15:53:36 2022	1670100816	15	30016	30031	0
Sat Dec 03 15:57:09 2022	1670101029	24	30008	30031	0
Sat Dec 03 15:56:11 2022	1670100971	11	30021	30032	5332
Sat Dec 03 15:53:37 2022	1670100817	12	30025	30037	0
Sat Dec 03 15:52:36 2022	1670100756	27	30013	30041	0
Sat Dec 03 15:54:38 2022	1670100878	22	30019	30042	0
Sat Dec 03 15:55:43 2022	1670100943	11	30035	30046	5711
Sat Dec 03 15:56:08 2022	1670100968	26	30023	30049	0
Sat Dec 03 15:55:38 2022	1670100938	14	30036	30050	0
Sat Dec 03 15:55:37 2022	1670100937	10	30043	30053	0
Sat Dec 03 15:53:37 2022	1670100817	16	30037	30053	0
Sat Dec 03 15:54:40 2022	1670100880	11	30050	30061	3628
Sat Dec 03 15:57:13 2022	1670101033	14	30052	30066	5711
Sat Dec 03 15:54:41 2022	1670100881	10	30056	30066	5332
Sat Dec 03 15:56:08 2022	1670100968	15	30054	30068	0
Sat Dec 03 15:55:38 2022	1670100938	16	30053	30069	0
Sat Dec 03 15:55:39 2022	1670100939	11	30058	30069	0
Sat Dec 03 15:53:41 2022	1670100821	12	30058	30070	5711
Sat Dec 03 15:52:36 2022	1670100756	36	30037	30073	0
Sat Dec 03 15:56:40 2022	1670101000	13	30061	30074	2363
Sat Dec 03 15:54:07 2022	1670100847	15	30060	30075	0
Sat Dec 03 15:55:08 2022	1670100908	15	30060	30075	0
Sat Dec 03 15:53:36 2022	1670100816	16	30060	30076	0
Sat Dec 03 15:54:10 2022	1670100850	0	30077	30077	3628
Sat Dec 03 15:54:06 2022	1670100846	14	30064	30078	0
Sat Dec 03 15:52:36 2022	1670100756	74	30007	30081	0
Sat Dec 03 15:57:07 2022	1670101027	12	30070	30082	0
Sat Dec 03 15:53:06 2022	1670100786	12	30072	30083	0
Sat Dec 03 15:53:36 2022	1670100816	13	30075	30088	0
Sat Dec 03 15:55:11 2022	1670100911	14	30074	30088	5332
Sat Dec 03 15:55:37 2022	1670100937	13	30076	30089	0
Sat Dec 03 15:56:37 2022	1670100997	13	30077	30090	0
Sat Dec 03 15:53:11 2022	1670100791	0	30092	30092	5711
Sat Dec 03 15:52:36 2022	1670100756	66	30028	30095	0
Sat Dec 03 15:54:37 2022	1670100877	24	30072	30096	0
Sat Dec 03 15:55:08 2022	1670100908	11	30085	30096	0
Sat Dec 03 15:56:43 2022	1670101003	12	30085	30098	5711
Sat Dec 03 15:54:36 2022	1670100876	10	30089	30099	0
Sat Dec 03 15:57:10 2022	1670101030	11	30089	30100	0
