starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 03 16:00:09 2022	1670101209	17	3814	3832	2198
Sat Dec 03 16:04:46 2022	1670101486	12	30001	30013	0
Sat Dec 03 16:01:44 2022	1670101304	12	30003	30015	0
Sat Dec 03 16:01:44 2022	1670101304	13	30010	30022	0
Sat Dec 03 16:03:46 2022	1670101426	13	30011	30024	0
Sat Dec 03 16:02:16 2022	1670101336	14	30010	30025	0
Sat Dec 03 16:02:13 2022	1670101333	9	30017	30026	0
Sat Dec 03 16:02:46 2022	1670101366	11	30015	30026	0
Sat Dec 03 16:04:15 2022	1670101455	15	30014	30029	0
Sat Dec 03 16:00:44 2022	1670101244	16	30016	30032	0
Sat Dec 03 16:03:49 2022	1670101429	10	30021	30032	0
Sat Dec 03 16:03:44 2022	1670101424	11	30021	30032	0
Sat Dec 03 16:02:46 2022	1670101366	14	30019	30033	0
Sat Dec 03 16:01:13 2022	1670101273	14	30020	30034	0
Sat Dec 03 16:03:47 2022	1670101427	15	30021	30036	0
Sat Dec 03 16:01:47 2022	1670101307	13	30024	30036	0
Sat Dec 03 16:02:43 2022	1670101363	13	30025	30038	0
Sat Dec 03 16:02:18 2022	1670101338	10	30030	30040	0
Sat Dec 03 16:02:44 2022	1670101364	11	30033	30044	0
Sat Dec 03 16:01:13 2022	1670101273	11	30034	30045	0
Sat Dec 03 16:02:47 2022	1670101367	13	30034	30047	0
Sat Dec 03 16:03:15 2022	1670101395	16	30032	30048	0
Sat Dec 03 16:00:43 2022	1670101243	11	30037	30048	0
Sat Dec 03 16:04:16 2022	1670101456	13	30036	30050	0
Sat Dec 03 16:02:15 2022	1670101335	13	30037	30050	2198
Sat Dec 03 16:04:44 2022	1670101484	10	30044	30053	0
Sat Dec 03 16:03:45 2022	1670101425	17	30041	30058	0
Sat Dec 03 16:01:43 2022	1670101303	10	30057	30067	0
Sat Dec 03 16:01:43 2022	1670101303	17	30054	30071	0
Sat Dec 03 16:00:12 2022	1670101212	50	30023	30073	0
Sat Dec 03 16:00:43 2022	1670101243	45	30028	30073	0
Sat Dec 03 16:03:14 2022	1670101394	18	30056	30074	0
Sat Dec 03 16:03:49 2022	1670101429	10	30064	30074	0
Sat Dec 03 16:01:44 2022	1670101304	28	30047	30074	0
Sat Dec 03 16:02:44 2022	1670101364	17	30058	30075	0
Sat Dec 03 16:04:14 2022	1670101454	9	30066	30075	0
Sat Dec 03 16:04:18 2022	1670101458	13	30068	30080	0
Sat Dec 03 16:04:50 2022	1670101490	20	30065	30085	0
Sat Dec 03 16:04:16 2022	1670101456	15	30072	30087	0
Sat Dec 03 16:01:14 2022	1670101274	11	30077	30088	0
Sat Dec 03 16:02:44 2022	1670101364	11	30092	30103	0
Sat Dec 03 16:00:12 2022	1670101212	55	30051	30106	0
Sat Dec 03 16:00:12 2022	1670101212	51	30057	30108	0
Sat Dec 03 16:04:47 2022	1670101487	13	30095	30109	0
Sat Dec 03 16:04:48 2022	1670101488	12	30097	30109	0
Sat Dec 03 16:02:15 2022	1670101335	12	30097	30109	0
Sat Dec 03 16:01:13 2022	1670101273	15	30096	30111	0
Sat Dec 03 16:00:43 2022	1670101243	57	30055	30112	0
Sat Dec 03 16:02:14 2022	1670101334	19	30094	30113	0
Sat Dec 03 16:03:18 2022	1670101398	22	30094	30116	0
Sat Dec 03 16:04:16 2022	1670101456	11	30105	30116	0
Sat Dec 03 16:01:44 2022	1670101304	13	30105	30118	0
Sat Dec 03 16:03:18 2022	1670101398	11	30108	30119	0
Sat Dec 03 16:00:12 2022	1670101212	55	30064	30119	0
Sat Dec 03 16:00:12 2022	1670101212	66	30056	30121	0
Sat Dec 03 16:02:13 2022	1670101333	13	30110	30123	0
Sat Dec 03 16:01:44 2022	1670101304	12	30112	30124	0
Sat Dec 03 16:01:46 2022	1670101306	12	30114	30126	0
Sat Dec 03 16:01:13 2022	1670101273	12	30114	30127	0
Sat Dec 03 16:04:14 2022	1670101454	11	30117	30128	0
Sat Dec 03 16:03:48 2022	1670101428	15	30118	30133	0
Sat Dec 03 16:03:15 2022	1670101395	11	30122	30133	0
Sat Dec 03 16:01:43 2022	1670101303	12	30124	30135	0
Sat Dec 03 16:03:15 2022	1670101395	15	30125	30140	0
Sat Dec 03 16:04:15 2022	1670101455	15	30125	30140	0
Sat Dec 03 16:00:44 2022	1670101244	12	30130	30142	0
Sat Dec 03 16:02:45 2022	1670101365	13	30130	30143	0
Sat Dec 03 16:04:15 2022	1670101455	11	30134	30145	0
Sat Dec 03 16:04:45 2022	1670101485	15	30132	30147	0
Sat Dec 03 16:02:46 2022	1670101366	13	30135	30148	0
Sat Dec 03 16:04:45 2022	1670101485	14	30141	30156	0
Sat Dec 03 16:00:12 2022	1670101212	59	30097	30156	0
Sat Dec 03 16:01:45 2022	1670101305	25	30133	30158	0
Sat Dec 03 16:01:14 2022	1670101274	16	30142	30158	0
Sat Dec 03 16:04:17 2022	1670101457	26	30134	30161	0
Sat Dec 03 16:04:49 2022	1670101489	15	30147	30162	0
Sat Dec 03 16:03:45 2022	1670101425	20	30142	30162	0
Sat Dec 03 16:04:47 2022	1670101487	10	30152	30163	0
Sat Dec 03 16:01:13 2022	1670101273	10	30152	30163	0
Sat Dec 03 16:00:44 2022	1670101244	13	30150	30163	0
Sat Dec 03 16:04:47 2022	1670101487	13	30153	30166	0
Sat Dec 03 16:02:43 2022	1670101363	20	30148	30168	0
Sat Dec 03 16:01:13 2022	1670101273	17	30152	30169	0
Sat Dec 03 16:03:45 2022	1670101425	11	30158	30169	0
Sat Dec 03 16:03:16 2022	1670101396	11	30161	30171	0
Sat Dec 03 16:00:12 2022	1670101212	66	30109	30175	0
Sat Dec 03 16:04:50 2022	1670101490	15	30160	30175	0
Sat Dec 03 16:01:13 2022	1670101273	20	30156	30176	0
Sat Dec 03 16:01:14 2022	1670101274	24	30156	30180	0
Sat Dec 03 16:00:43 2022	1670101243	11	30169	30180	0
Sat Dec 03 16:03:16 2022	1670101396	13	30169	30182	0
Sat Dec 03 16:02:14 2022	1670101334	11	30173	30184	0
Sat Dec 03 16:01:13 2022	1670101273	19	30165	30185	0
Sat Dec 03 16:01:15 2022	1670101275	10	30176	30187	0
Sat Dec 03 16:04:45 2022	1670101485	13	30177	30190	0
Sat Dec 03 16:02:48 2022	1670101368	10	30180	30190	0
Sat Dec 03 16:04:18 2022	1670101458	11	30187	30198	0
Sat Dec 03 16:03:48 2022	1670101428	13	30185	30199	0
Sat Dec 03 16:00:43 2022	1670101243	67	30131	30199	0
Sat Dec 03 16:02:14 2022	1670101334	15	30189	30204	0
Sat Dec 03 16:01:13 2022	1670101273	28	30179	30207	0
Sat Dec 03 16:02:13 2022	1670101333	12	30196	30209	0
Sat Dec 03 16:02:15 2022	1670101335	17	30193	30210	0
Sat Dec 03 16:04:16 2022	1670101456	17	30194	30210	0
Sat Dec 03 16:02:45 2022	1670101365	17	30195	30212	0
Sat Dec 03 16:01:47 2022	1670101307	11	30203	30213	0
Sat Dec 03 16:04:19 2022	1670101459	11	30206	30217	2198
Sat Dec 03 16:01:47 2022	1670101307	22	30198	30221	0
Sat Dec 03 16:00:12 2022	1670101212	66	30155	30221	0
Sat Dec 03 16:00:44 2022	1670101244	13	30210	30223	0
Sat Dec 03 16:01:43 2022	1670101303	17	30206	30223	0
Sat Dec 03 16:00:44 2022	1670101244	14	30210	30223	0
Sat Dec 03 16:01:43 2022	1670101303	28	30199	30226	0
Sat Dec 03 16:03:46 2022	1670101426	14	30218	30232	0
Sat Dec 03 16:02:44 2022	1670101364	13	30220	30233	0
Sat Dec 03 16:03:16 2022	1670101396	14	30221	30234	0
Sat Dec 03 16:02:14 2022	1670101334	14	30222	30235	0
Sat Dec 03 16:04:47 2022	1670101487	19	30219	30238	0
Sat Dec 03 16:00:12 2022	1670101212	70	30169	30239	0
Sat Dec 03 16:03:44 2022	1670101424	13	30229	30243	0
Sat Dec 03 16:01:13 2022	1670101273	34	30216	30250	0
Sat Dec 03 16:04:17 2022	1670101457	14	30239	30253	0
Sat Dec 03 16:02:44 2022	1670101364	12	30243	30255	0
Sat Dec 03 16:03:16 2022	1670101396	17	30238	30255	0
Sat Dec 03 16:04:47 2022	1670101487	14	30242	30256	0
Sat Dec 03 16:04:19 2022	1670101459	10	30246	30257	0
Sat Dec 03 16:01:43 2022	1670101303	12	30246	30258	0
Sat Dec 03 16:00:43 2022	1670101243	65	30194	30259	0
Sat Dec 03 16:03:44 2022	1670101424	14	30246	30260	0
Sat Dec 03 16:03:46 2022	1670101426	13	30248	30261	0
Sat Dec 03 16:03:13 2022	1670101393	9	30254	30264	0
Sat Dec 03 16:00:43 2022	1670101243	10	30257	30267	0
Sat Dec 03 16:04:15 2022	1670101455	12	30257	30269	0
Sat Dec 03 16:02:14 2022	1670101334	17	30255	30272	0
Sat Dec 03 16:01:44 2022	1670101304	11	30263	30274	0
Sat Dec 03 16:04:18 2022	1670101458	11	30265	30276	0
Sat Dec 03 16:04:46 2022	1670101486	10	30269	30279	0
Sat Dec 03 16:01:44 2022	1670101304	52	30230	30282	0
Sat Dec 03 16:01:14 2022	1670101274	17	30268	30285	0
Sat Dec 03 16:01:43 2022	1670101303	17	30271	30288	0
Sat Dec 03 16:04:45 2022	1670101485	23	30266	30289	0
Sat Dec 03 16:02:48 2022	1670101368	10	30285	30295	0
Sat Dec 03 16:03:48 2022	1670101428	11	30284	30295	0
Sat Dec 03 16:00:43 2022	1670101243	23	30273	30296	0
Sat Dec 03 16:02:15 2022	1670101335	10	30288	30298	0
Sat Dec 03 16:04:45 2022	1670101485	12	30286	30298	0
Sat Dec 03 16:03:14 2022	1670101394	14	30286	30300	0
Sat Dec 03 16:00:12 2022	1670101212	69	30231	30300	0
Sat Dec 03 16:01:15 2022	1670101275	15	30289	30304	2198
Sat Dec 03 16:04:16 2022	1670101456	12	30293	30306	0
Sat Dec 03 16:02:43 2022	1670101363	12	30294	30306	0
Sat Dec 03 16:02:45 2022	1670101365	19	30288	30307	0
Sat Dec 03 16:02:15 2022	1670101335	23	30285	30308	0
Sat Dec 03 16:04:48 2022	1670101488	13	30295	30308	0
Sat Dec 03 16:01:43 2022	1670101303	13	30298	30310	0
Sat Dec 03 16:03:46 2022	1670101426	18	30297	30315	0
Sat Dec 03 16:03:15 2022	1670101395	12	30308	30320	0
Sat Dec 03 16:01:43 2022	1670101303	16	30309	30325	0
Sat Dec 03 16:00:43 2022	1670101243	14	30314	30328	0
Sat Dec 03 16:00:12 2022	1670101212	70	30259	30329	0
Sat Dec 03 16:02:45 2022	1670101365	16	30314	30330	0
Sat Dec 03 16:00:43 2022	1670101243	10	30321	30331	0
Sat Dec 03 16:03:46 2022	1670101426	12	30321	30333	0
Sat Dec 03 16:04:17 2022	1670101457	12	30325	30337	0
Sat Dec 03 16:04:48 2022	1670101488	12	30329	30341	0
Sat Dec 03 16:00:12 2022	1670101212	57	30286	30343	0
Sat Dec 03 16:00:12 2022	1670101212	51	30298	30349	0
Sat Dec 03 16:00:43 2022	1670101243	11	30338	30350	0
Sat Dec 03 16:03:17 2022	1670101397	12	30341	30353	0
Sat Dec 03 16:01:14 2022	1670101274	13	30345	30358	0
Sat Dec 03 16:04:47 2022	1670101487	12	30351	30362	0
Sat Dec 03 16:04:46 2022	1670101486	11	30353	30364	0
Sat Dec 03 16:02:13 2022	1670101333	12	30364	30376	0
Sat Dec 03 16:04:46 2022	1670101486	13	30367	30379	0
Sat Dec 03 16:02:17 2022	1670101337	15	30364	30379	0
Sat Dec 03 16:01:47 2022	1670101307	14	30369	30383	0
Sat Dec 03 16:03:46 2022	1670101426	15	30368	30384	0
Sat Dec 03 16:01:14 2022	1670101274	12	30371	30384	0
Sat Dec 03 16:03:14 2022	1670101394	16	30368	30384	0
Sat Dec 03 16:03:48 2022	1670101428	11	30374	30385	0
Sat Dec 03 16:00:12 2022	1670101212	57	30329	30386	0
Sat Dec 03 16:04:19 2022	1670101459	11	30377	30388	0
Sat Dec 03 16:00:43 2022	1670101243	48	30342	30391	0
Sat Dec 03 16:02:44 2022	1670101364	16	30375	30391	0
Sat Dec 03 16:00:42 2022	1670101242	11	30384	30395	0
Sat Dec 03 16:01:15 2022	1670101275	11	30387	30397	0
Sat Dec 03 16:03:13 2022	1670101393	10	30389	30399	0
Sat Dec 03 16:00:43 2022	1670101243	26	30374	30400	0
Sat Dec 03 16:04:16 2022	1670101456	11	30393	30403	0
Sat Dec 03 16:00:12 2022	1670101212	70	30336	30406	0
Sat Dec 03 16:01:13 2022	1670101273	12	30403	30415	0
Sat Dec 03 16:03:43 2022	1670101423	13	30419	30433	0
Sat Dec 03 16:02:14 2022	1670101334	13	30419	30433	0
Sat Dec 03 16:04:17 2022	1670101457	12	30421	30433	0
Sat Dec 03 16:01:17 2022	1670101277	13	30423	30436	0
