starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 14 22:15:15 2022	1668482115	0	1124	1124	430
Mon Nov 14 22:11:20 2022	1668481880	0	1239	1239	490
Mon Nov 14 22:15:16 2022	1668482116	0	1449	1449	433
Mon Nov 14 22:12:40 2022	1668481960	0	1516	1516	699
Mon Nov 14 22:07:59 2022	1668481679	20	1637	1658	537
Mon Nov 14 22:11:21 2022	1668481881	0	1835	1835	771
Mon Nov 14 22:14:17 2022	1668482057	0	2334	2334	438
Mon Nov 14 22:12:45 2022	1668481965	88	2453	2541	527
Mon Nov 14 22:13:13 2022	1668481993	0	2640	2640	670
Mon Nov 14 22:12:42 2022	1668481962	0	2684	2684	469
Mon Nov 14 22:14:06 2022	1668482046	0	2799	2799	812
Mon Nov 14 22:12:39 2022	1668481959	0	2921	2921	1049
Mon Nov 14 22:08:00 2022	1668481680	259	2676	2935	831
Mon Nov 14 22:14:03 2022	1668482043	0	3027	3027	680
Mon Nov 14 22:12:30 2022	1668481950	0	3303	3303	1181
Mon Nov 14 22:12:07 2022	1668481927	0	3325	3325	654
Mon Nov 14 22:12:16 2022	1668481936	0	3575	3575	538
Mon Nov 14 22:12:51 2022	1668481971	0	3682	3682	751
Mon Nov 14 22:12:44 2022	1668481964	121	3615	3735	1309
Mon Nov 14 22:12:48 2022	1668481968	0	3753	3753	1079
Mon Nov 14 22:12:35 2022	1668481955	147	3656	3803	550
Mon Nov 14 22:11:16 2022	1668481876	239	3569	3808	478
Mon Nov 14 22:12:47 2022	1668481967	0	3994	3994	516
Mon Nov 14 22:14:43 2022	1668482083	136	3976	4112	581
Mon Nov 14 22:12:44 2022	1668481964	131	4005	4136	399
Mon Nov 14 22:12:06 2022	1668481926	977	3168	4145	570
Mon Nov 14 22:15:44 2022	1668482144	788	3464	4251	1580
Mon Nov 14 22:14:04 2022	1668482044	0	4252	4252	675
Mon Nov 14 22:13:11 2022	1668481991	0	4323	4323	546
Mon Nov 14 22:12:52 2022	1668481972	0	4496	4496	967
Mon Nov 14 22:14:36 2022	1668482076	82	4424	4506	1375
Mon Nov 14 22:12:11 2022	1668481931	257	4250	4508	638
Mon Nov 14 22:14:03 2022	1668482043	0	4567	4567	1479
Mon Nov 14 22:12:50 2022	1668481970	315	4364	4679	675
Mon Nov 14 22:13:59 2022	1668482039	0	4688	4688	928
Mon Nov 14 22:12:36 2022	1668481956	121	4652	4774	834
Mon Nov 14 22:14:47 2022	1668482087	0	4833	4833	606
Mon Nov 14 22:13:47 2022	1668482027	0	4833	4833	1073
Mon Nov 14 22:11:35 2022	1668481895	83	5114	5197	506
Mon Nov 14 22:14:52 2022	1668482092	0	5215	5215	847
Mon Nov 14 22:12:51 2022	1668481971	0	5381	5381	598
Mon Nov 14 22:13:08 2022	1668481988	0	5446	5446	1738
Mon Nov 14 22:13:59 2022	1668482039	0	5476	5476	856
Mon Nov 14 22:12:45 2022	1668481965	90	5457	5546	851
Mon Nov 14 22:14:17 2022	1668482057	0	5551	5551	1091
Mon Nov 14 22:13:54 2022	1668482034	0	5630	5630	1723
Mon Nov 14 22:12:45 2022	1668481965	121	5553	5674	492
Mon Nov 14 22:13:08 2022	1668481988	1443	4235	5678	1666
Mon Nov 14 22:13:18 2022	1668481998	280	5436	5717	935
Mon Nov 14 22:10:12 2022	1668481812	213	5517	5730	1122
Mon Nov 14 22:14:41 2022	1668482081	0	5786	5786	465
Mon Nov 14 22:11:24 2022	1668481884	124	5738	5862	446
Mon Nov 14 22:13:30 2022	1668482010	0	5888	5888	1113
Mon Nov 14 22:12:31 2022	1668481951	939	4961	5899	807
Mon Nov 14 22:13:31 2022	1668482011	0	5918	5918	2283
Mon Nov 14 22:13:13 2022	1668481993	0	5996	5996	878
Mon Nov 14 22:15:17 2022	1668482117	0	6061	6061	532
Mon Nov 14 22:12:46 2022	1668481966	148	6015	6163	584
Mon Nov 14 22:13:18 2022	1668481998	280	5951	6231	943
Mon Nov 14 22:10:51 2022	1668481851	0	6266	6266	1394
Mon Nov 14 22:10:55 2022	1668481855	0	6282	6282	1375
Mon Nov 14 22:13:45 2022	1668482025	0	6308	6308	1540
Mon Nov 14 22:12:01 2022	1668481921	0	6370	6370	656
Mon Nov 14 22:13:59 2022	1668482039	0	6617	6617	1357
Mon Nov 14 22:11:30 2022	1668481890	0	6629	6629	556
Mon Nov 14 22:10:17 2022	1668481817	0	6643	6643	609
Mon Nov 14 22:15:08 2022	1668482108	143	6582	6725	576
Mon Nov 14 22:14:00 2022	1668482040	0	6753	6753	623
Mon Nov 14 22:13:47 2022	1668482027	0	6803	6803	1136
Mon Nov 14 22:14:30 2022	1668482070	139	6862	7002	449
Mon Nov 14 22:13:30 2022	1668482010	0	7021	7021	1961
Mon Nov 14 22:15:04 2022	1668482104	105	6965	7070	1118
Mon Nov 14 22:12:26 2022	1668481946	0	7164	7164	1115
Mon Nov 14 22:12:55 2022	1668481975	0	7201	7201	1366
Mon Nov 14 22:13:24 2022	1668482004	0	7249	7249	801
Mon Nov 14 22:11:14 2022	1668481874	432	7183	7615	669
Mon Nov 14 22:12:53 2022	1668481973	452	7299	7751	837
Mon Nov 14 22:12:56 2022	1668481976	0	7977	7977	798
Mon Nov 14 22:14:08 2022	1668482048	0	8036	8036	2341
Mon Nov 14 22:15:12 2022	1668482112	0	8073	8073	587
Mon Nov 14 22:13:43 2022	1668482023	0	8120	8120	1926
Mon Nov 14 22:12:54 2022	1668481974	0	8167	8167	1353
Mon Nov 14 22:11:24 2022	1668481884	99	8099	8199	551
Mon Nov 14 22:10:46 2022	1668481846	0	8528	8528	1713
Mon Nov 14 22:13:51 2022	1668482031	0	8556	8556	711
Mon Nov 14 22:11:01 2022	1668481861	111	8457	8568	1165
Mon Nov 14 22:10:12 2022	1668481812	160	8495	8655	1418
Mon Nov 14 22:13:34 2022	1668482014	0	8728	8728	781
Mon Nov 14 22:14:00 2022	1668482040	0	8749	8749	377
Mon Nov 14 22:12:17 2022	1668481937	412	8340	8752	743
Mon Nov 14 22:14:08 2022	1668482048	0	8828	8828	620
Mon Nov 14 22:13:02 2022	1668481982	0	9073	9073	1012
Mon Nov 14 22:13:21 2022	1668482001	391	8778	9169	985
Mon Nov 14 22:11:51 2022	1668481911	0	9191	9191	670
Mon Nov 14 22:13:36 2022	1668482016	0	9302	9302	1232
Mon Nov 14 22:14:07 2022	1668482047	0	9365	9365	899
Mon Nov 14 22:12:52 2022	1668481972	0	9392	9392	1046
Mon Nov 14 22:13:37 2022	1668482017	0	9450	9450	2156
Mon Nov 14 22:13:25 2022	1668482005	0	9455	9455	981
Mon Nov 14 22:13:54 2022	1668482034	0	9458	9458	1809
Mon Nov 14 22:13:37 2022	1668482017	0	9628	9628	1970
Mon Nov 14 22:14:19 2022	1668482059	0	9772	9772	693
Mon Nov 14 22:08:00 2022	1668481680	62	9841	9903	3161
Mon Nov 14 22:10:20 2022	1668481820	0	9979	9979	1592
Mon Nov 14 22:14:07 2022	1668482047	0	10032	10032	625
Mon Nov 14 22:13:20 2022	1668482000	269	9777	10047	698
Mon Nov 14 22:12:46 2022	1668481966	99	10080	10179	968
Mon Nov 14 22:13:52 2022	1668482032	898	9457	10355	1741
Mon Nov 14 22:11:41 2022	1668481901	456	10064	10520	821
Mon Nov 14 22:13:04 2022	1668481984	0	10550	10550	1497
Mon Nov 14 22:14:06 2022	1668482046	0	10716	10716	700
Mon Nov 14 22:12:57 2022	1668481977	0	11052	11052	1488
Mon Nov 14 22:12:46 2022	1668481966	126	10938	11063	829
Mon Nov 14 22:12:19 2022	1668481939	0	11136	11136	673
Mon Nov 14 22:13:52 2022	1668482032	0	11585	11585	1102
Mon Nov 14 22:15:36 2022	1668482136	171	11702	11873	589
Mon Nov 14 22:11:40 2022	1668481900	0	11924	11924	1015
Mon Nov 14 22:13:51 2022	1668482031	0	11968	11968	570
Mon Nov 14 22:12:50 2022	1668481970	0	12066	12066	1093
Mon Nov 14 22:13:00 2022	1668481980	0	12084	12084	2080
Mon Nov 14 22:13:50 2022	1668482030	465	11742	12207	1757
Mon Nov 14 22:10:38 2022	1668481838	0	12722	12722	1094
Mon Nov 14 22:13:47 2022	1668482027	0	13128	13128	919
Mon Nov 14 22:13:34 2022	1668482014	0	13222	13222	1207
Mon Nov 14 22:14:04 2022	1668482044	0	13317	13317	986
Mon Nov 14 22:10:57 2022	1668481857	0	13341	13341	471
Mon Nov 14 22:13:40 2022	1668482020	1174	12419	13592	1277
