starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 20 22:44:29 2022	1669002269	25	4222	4247	2548
Sun Nov 20 22:46:43 2022	1669002403	13	28459	28472	1801
Sun Nov 20 22:47:42 2022	1669002462	12	28607	28619	1432
Sun Nov 20 22:48:04 2022	1669002484	16	29132	29149	2016
Sun Nov 20 22:46:38 2022	1669002398	11	30002	30012	2160
Sun Nov 20 22:46:03 2022	1669002363	19	30002	30022	0
Sun Nov 20 22:47:34 2022	1669002454	10	30012	30022	0
Sun Nov 20 22:46:04 2022	1669002364	14	30011	30025	0
Sun Nov 20 22:49:07 2022	1669002547	13	30013	30026	1313
Sun Nov 20 22:48:04 2022	1669002484	12	30014	30027	0
Sun Nov 20 22:45:33 2022	1669002333	14	30014	30028	0
Sun Nov 20 22:46:04 2022	1669002364	13	30015	30028	0
Sun Nov 20 22:47:05 2022	1669002425	15	30017	30032	0
Sun Nov 20 22:47:04 2022	1669002424	11	30023	30033	0
Sun Nov 20 22:46:34 2022	1669002394	11	30025	30036	0
Sun Nov 20 22:48:37 2022	1669002517	13	30023	30037	1451
Sun Nov 20 22:46:35 2022	1669002395	25	30013	30038	0
Sun Nov 20 22:46:34 2022	1669002394	10	30033	30043	0
Sun Nov 20 22:45:03 2022	1669002303	30	30015	30045	0
Sun Nov 20 22:45:03 2022	1669002303	21	30024	30045	0
Sun Nov 20 22:48:41 2022	1669002521	12	30036	30047	2531
Sun Nov 20 22:49:07 2022	1669002547	22	30031	30053	0
Sun Nov 20 22:47:35 2022	1669002455	11	30043	30054	0
Sun Nov 20 22:45:04 2022	1669002304	20	30038	30058	0
Sun Nov 20 22:47:35 2022	1669002455	22	30036	30058	0
Sun Nov 20 22:48:37 2022	1669002517	0	30059	30059	1412
Sun Nov 20 22:46:34 2022	1669002394	14	30047	30061	1598
Sun Nov 20 22:48:05 2022	1669002485	15	30047	30062	0
Sun Nov 20 22:44:33 2022	1669002273	36	30028	30064	0
Sun Nov 20 22:48:05 2022	1669002485	25	30039	30064	0
Sun Nov 20 22:48:07 2022	1669002487	19	30049	30067	0
Sun Nov 20 22:47:08 2022	1669002428	13	30055	30068	4402
Sun Nov 20 22:48:05 2022	1669002485	14	30056	30070	0
Sun Nov 20 22:47:35 2022	1669002455	11	30063	30074	0
Sun Nov 20 22:44:33 2022	1669002273	34	30041	30075	0
Sun Nov 20 22:49:08 2022	1669002548	13	30062	30075	2246
Sun Nov 20 22:44:33 2022	1669002273	37	30038	30075	0
Sun Nov 20 22:48:07 2022	1669002487	13	30064	30078	1451
Sun Nov 20 22:47:07 2022	1669002427	11	30067	30078	1313
Sun Nov 20 22:48:37 2022	1669002517	46	30036	30082	1313
Sun Nov 20 22:47:35 2022	1669002455	19	30065	30084	0
Sun Nov 20 22:47:05 2022	1669002425	19	30065	30084	0
Sun Nov 20 22:47:04 2022	1669002424	11	30074	30086	1598
Sun Nov 20 22:45:03 2022	1669002303	43	30044	30087	0
Sun Nov 20 22:47:06 2022	1669002426	13	30078	30091	0
Sun Nov 20 22:47:34 2022	1669002454	13	30079	30092	0
Sun Nov 20 22:49:05 2022	1669002545	12	30082	30094	0
Sun Nov 20 22:45:04 2022	1669002304	11	30084	30094	0
Sun Nov 20 22:48:40 2022	1669002520	10	30096	30106	2160
Sun Nov 20 22:46:36 2022	1669002396	0	30109	30109	1313
Sun Nov 20 22:48:35 2022	1669002515	20	30090	30109	0
Sun Nov 20 22:44:33 2022	1669002273	34	30077	30112	0
Sun Nov 20 22:45:34 2022	1669002334	12	30100	30112	0
Sun Nov 20 22:48:37 2022	1669002517	13	30104	30117	0
Sun Nov 20 22:46:08 2022	1669002368	0	30119	30119	4402
Sun Nov 20 22:47:12 2022	1669002432	0	30121	30121	1801
Sun Nov 20 22:45:36 2022	1669002336	0	30121	30121	2755
Sun Nov 20 22:44:33 2022	1669002273	34	30087	30121	0
Sun Nov 20 22:48:04 2022	1669002484	13	30109	30122	1598
Sun Nov 20 22:47:38 2022	1669002458	10	30113	30123	4402
Sun Nov 20 22:49:09 2022	1669002549	19	30107	30126	4402
Sun Nov 20 22:47:37 2022	1669002457	10	30117	30126	3556
Sun Nov 20 22:45:33 2022	1669002333	11	30121	30132	0
Sun Nov 20 22:46:03 2022	1669002363	11	30124	30136	0
Sun Nov 20 22:46:33 2022	1669002393	12	30124	30136	0
Sun Nov 20 22:44:33 2022	1669002273	48	30091	30140	0
Sun Nov 20 22:45:03 2022	1669002303	67	30076	30142	0
Sun Nov 20 22:47:37 2022	1669002457	14	30131	30145	1313
Sun Nov 20 22:47:39 2022	1669002459	13	30132	30146	2160
Sun Nov 20 22:45:03 2022	1669002303	10	30136	30146	0
Sun Nov 20 22:49:07 2022	1669002547	13	30136	30149	1451
Sun Nov 20 22:49:06 2022	1669002546	0	30150	30150	1373
Sun Nov 20 22:48:36 2022	1669002516	13	30139	30152	0
Sun Nov 20 22:46:35 2022	1669002395	12	30150	30162	0
Sun Nov 20 22:48:35 2022	1669002515	12	30151	30164	0
Sun Nov 20 22:48:39 2022	1669002519	10	30154	30165	4402
Sun Nov 20 22:44:33 2022	1669002273	48	30117	30165	0
Sun Nov 20 22:44:33 2022	1669002273	37	30133	30169	0
Sun Nov 20 22:45:33 2022	1669002333	12	30158	30170	0
Sun Nov 20 22:46:38 2022	1669002398	9	30161	30170	4402
Sun Nov 20 22:48:07 2022	1669002487	11	30160	30171	1313
Sun Nov 20 22:48:08 2022	1669002488	16	30163	30179	3556
Sun Nov 20 22:45:03 2022	1669002303	67	30113	30181	0
Sun Nov 20 22:45:33 2022	1669002333	11	30170	30181	0
Sun Nov 20 22:46:04 2022	1669002364	28	30157	30184	0
Sun Nov 20 22:45:34 2022	1669002334	28	30157	30185	0
Sun Nov 20 22:49:05 2022	1669002545	12	30175	30187	0
Sun Nov 20 22:48:10 2022	1669002490	0	30189	30189	1432
Sun Nov 20 22:44:33 2022	1669002273	50	30144	30194	0
Sun Nov 20 22:48:05 2022	1669002485	15	30183	30198	0
Sun Nov 20 22:47:04 2022	1669002424	12	30186	30199	0
Sun Nov 20 22:47:35 2022	1669002455	13	30191	30204	0
Sun Nov 20 22:45:34 2022	1669002334	16	30193	30209	0
Sun Nov 20 22:48:35 2022	1669002515	10	30202	30213	0
Sun Nov 20 22:47:04 2022	1669002424	12	30203	30215	0
Sun Nov 20 22:47:05 2022	1669002425	10	30205	30216	0
Sun Nov 20 22:47:35 2022	1669002455	10	30209	30219	0
Sun Nov 20 22:49:08 2022	1669002548	10	30214	30224	3556
Sun Nov 20 22:46:04 2022	1669002364	0	30226	30226	1598
Sun Nov 20 22:46:08 2022	1669002368	0	30229	30229	2160
Sun Nov 20 22:44:33 2022	1669002273	37	30192	30230	0
Sun Nov 20 22:49:06 2022	1669002546	11	30220	30231	0
Sun Nov 20 22:48:09 2022	1669002489	12	30229	30241	4402
Sun Nov 20 22:46:35 2022	1669002395	12	30231	30243	0
Sun Nov 20 22:46:34 2022	1669002394	12	30232	30244	0
Sun Nov 20 22:46:05 2022	1669002365	13	30234	30247	0
Sun Nov 20 22:49:10 2022	1669002550	20	30230	30250	2160
Sun Nov 20 22:46:34 2022	1669002394	13	30238	30251	0
Sun Nov 20 22:47:05 2022	1669002425	14	30238	30252	0
Sun Nov 20 22:46:34 2022	1669002394	13	30240	30252	0
Sun Nov 20 22:45:03 2022	1669002303	50	30206	30256	0
Sun Nov 20 22:47:04 2022	1669002424	19	30239	30258	0
Sun Nov 20 22:45:03 2022	1669002303	23	30238	30260	0
Sun Nov 20 22:49:07 2022	1669002547	12	30252	30263	1412
Sun Nov 20 22:45:03 2022	1669002303	24	30245	30270	0
Sun Nov 20 22:46:04 2022	1669002364	10	30261	30270	0
Sun Nov 20 22:47:05 2022	1669002425	9	30264	30273	0
Sun Nov 20 22:47:04 2022	1669002424	11	30266	30277	0
Sun Nov 20 22:47:06 2022	1669002426	0	30283	30283	1451
Sun Nov 20 22:47:34 2022	1669002454	11	30275	30286	0
Sun Nov 20 22:49:06 2022	1669002546	17	30283	30300	0
Sun Nov 20 22:47:34 2022	1669002454	13	30293	30306	0
Sun Nov 20 22:44:33 2022	1669002273	34	30274	30308	0
Sun Nov 20 22:45:34 2022	1669002334	20	30290	30310	0
Sun Nov 20 22:46:04 2022	1669002364	13	30301	30313	0
Sun Nov 20 22:47:34 2022	1669002454	12	30308	30320	1598
Sun Nov 20 22:49:06 2022	1669002546	10	30320	30330	0
Sun Nov 20 22:48:34 2022	1669002514	11	30324	30334	0
Sun Nov 20 22:45:04 2022	1669002304	13	30323	30335	0
Sun Nov 20 22:47:07 2022	1669002427	0	30336	30336	3556
Sun Nov 20 22:46:35 2022	1669002395	12	30325	30337	0
Sun Nov 20 22:48:09 2022	1669002489	11	30346	30356	2160
Sun Nov 20 22:48:36 2022	1669002516	10	30349	30359	0
Sun Nov 20 22:45:34 2022	1669002334	22	30355	30377	0
Sun Nov 20 22:46:03 2022	1669002363	11	30382	30393	0
Sun Nov 20 22:48:38 2022	1669002518	11	30383	30394	3556
Sun Nov 20 22:47:36 2022	1669002456	10	30392	30402	0
Sun Nov 20 22:45:33 2022	1669002333	26	30377	30404	1598
Sun Nov 20 22:44:33 2022	1669002273	48	30374	30422	0
Sun Nov 20 22:46:04 2022	1669002364	16	30409	30425	0
Sun Nov 20 22:47:05 2022	1669002425	15	30410	30425	0
Sun Nov 20 22:46:04 2022	1669002364	15	30419	30433	0
Sun Nov 20 22:44:33 2022	1669002273	34	30401	30435	0
Sun Nov 20 22:46:36 2022	1669002396	10	30431	30440	0
Sun Nov 20 22:44:33 2022	1669002273	50	30392	30441	0
Sun Nov 20 22:45:04 2022	1669002304	10	30447	30458	0
Sun Nov 20 22:46:04 2022	1669002364	12	30446	30458	0
Sun Nov 20 22:48:35 2022	1669002515	12	30459	30471	0
Sun Nov 20 22:48:37 2022	1669002517	0	30475	30475	2246
Sun Nov 20 22:48:04 2022	1669002484	12	30468	30480	0
Sun Nov 20 22:49:06 2022	1669002546	15	30485	30501	0
Sun Nov 20 22:48:05 2022	1669002485	13	30509	30522	0
Sun Nov 20 22:48:33 2022	1669002513	0	30525	30525	2016
Sun Nov 20 22:45:03 2022	1669002303	25	30515	30540	0
Sun Nov 20 22:48:05 2022	1669002485	11	30535	30546	0
Sun Nov 20 22:46:34 2022	1669002394	14	30532	30547	0
Sun Nov 20 22:45:33 2022	1669002333	12	30535	30547	0
Sun Nov 20 22:46:03 2022	1669002363	13	30576	30589	0
Sun Nov 20 22:45:34 2022	1669002334	9	30592	30601	0
Sun Nov 20 22:47:08 2022	1669002428	12	30592	30604	2160
Sun Nov 20 22:45:33 2022	1669002333	11	30602	30613	0
Sun Nov 20 22:47:36 2022	1669002456	10	30619	30629	1451
Sun Nov 20 22:48:36 2022	1669002516	11	30628	30640	1373
Sun Nov 20 22:47:34 2022	1669002454	12	30630	30642	0
Sun Nov 20 22:44:33 2022	1669002273	50	30596	30646	0
Sun Nov 20 22:45:03 2022	1669002303	11	30654	30665	0
Sun Nov 20 22:44:33 2022	1669002273	34	30636	30671	0
Sun Nov 20 22:48:05 2022	1669002485	12	30677	30689	0
Sun Nov 20 22:47:05 2022	1669002425	11	30688	30699	0
Sun Nov 20 22:46:06 2022	1669002366	14	30705	30720	1313
Sun Nov 20 22:48:35 2022	1669002515	10	30713	30722	0
Sun Nov 20 22:46:04 2022	1669002364	12	30715	30726	0
Sun Nov 20 22:45:34 2022	1669002334	12	30715	30727	0
Sun Nov 20 22:49:04 2022	1669002544	15	30744	30759	0
Sun Nov 20 22:44:33 2022	1669002273	35	30734	30769	0
Sun Nov 20 22:45:03 2022	1669002303	43	30749	30792	0
Sun Nov 20 22:45:03 2022	1669002303	31	30796	30827	0
Sun Nov 20 22:46:34 2022	1669002394	9	30824	30833	0
Sun Nov 20 22:45:34 2022	1669002334	13	30855	30869	0
Sun Nov 20 22:46:12 2022	1669002372	0	30887	30887	2725
Sun Nov 20 22:49:05 2022	1669002545	11	30881	30892	2306
Sun Nov 20 22:44:33 2022	1669002273	48	30869	30917	0
Sun Nov 20 22:44:33 2022	1669002273	50	31034	31083	0
Sun Nov 20 22:48:06 2022	1669002486	0	31124	31124	1412
Sun Nov 20 22:46:05 2022	1669002365	15	31224	31239	0
Sun Nov 20 22:45:33 2022	1669002333	17	31250	31267	0
Sun Nov 20 22:47:35 2022	1669002455	12	31263	31275	1464
Sun Nov 20 22:45:37 2022	1669002337	0	31552	31552	2160
Sun Nov 20 22:46:34 2022	1669002394	312	31285	31597	1451
