starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 21 18:44:09 2022	1669074249	0	1361	1361	568
Mon Nov 21 18:43:35 2022	1669074215	27	1354	1381	599
Mon Nov 21 18:43:41 2022	1669074221	0	1699	1699	1104
Mon Nov 21 18:44:12 2022	1669074252	0	1711	1711	857
Mon Nov 21 18:43:59 2022	1669074239	0	1755	1755	998
Mon Nov 21 18:43:35 2022	1669074215	37	1747	1783	948
Mon Nov 21 18:43:55 2022	1669074235	0	1816	1816	1215
Mon Nov 21 18:44:11 2022	1669074251	0	2026	2026	1150
Mon Nov 21 18:43:46 2022	1669074226	0	2061	2061	1588
Mon Nov 21 18:43:35 2022	1669074215	40	2182	2222	1469
Mon Nov 21 18:44:02 2022	1669074242	0	2252	2252	1553
Mon Nov 21 18:44:08 2022	1669074248	0	2282	2282	1552
Mon Nov 21 18:44:09 2022	1669074249	0	2304	2304	1467
Mon Nov 21 18:44:05 2022	1669074245	0	2379	2379	1437
Mon Nov 21 18:43:45 2022	1669074225	0	2586	2586	1790
Mon Nov 21 18:43:35 2022	1669074215	40	2641	2681	1917
Mon Nov 21 18:43:52 2022	1669074232	0	2818	2818	2338
Mon Nov 21 18:43:51 2022	1669074231	0	2847	2847	2389
Mon Nov 21 18:44:02 2022	1669074242	0	2862	2862	1871
Mon Nov 21 18:44:00 2022	1669074240	0	3067	3067	2554
Mon Nov 21 18:44:01 2022	1669074241	0	3166	3166	1801
Mon Nov 21 18:43:48 2022	1669074228	0	3218	3218	2604
Mon Nov 21 18:44:11 2022	1669074251	0	3228	3228	2521
Mon Nov 21 18:44:11 2022	1669074251	0	3269	3269	2740
Mon Nov 21 18:44:02 2022	1669074242	0	3281	3281	2792
Mon Nov 21 18:43:56 2022	1669074236	0	3307	3307	2704
Mon Nov 21 18:43:35 2022	1669074215	38	3321	3359	2614
Mon Nov 21 18:44:10 2022	1669074250	0	3365	3365	2156
Mon Nov 21 18:43:50 2022	1669074230	0	3386	3386	2599
Mon Nov 21 18:44:13 2022	1669074253	0	3405	3405	2742
Mon Nov 21 18:43:47 2022	1669074227	0	3425	3425	2605
Mon Nov 21 18:44:10 2022	1669074250	0	3483	3483	2688
Mon Nov 21 18:43:40 2022	1669074220	0	3524	3524	2941
Mon Nov 21 18:44:01 2022	1669074241	0	3542	3542	2288
Mon Nov 21 18:44:08 2022	1669074248	0	3546	3546	2687
Mon Nov 21 18:44:12 2022	1669074252	0	3563	3563	3163
Mon Nov 21 18:44:04 2022	1669074244	0	3598	3598	2399
Mon Nov 21 18:43:47 2022	1669074227	0	3620	3620	2822
Mon Nov 21 18:44:01 2022	1669074241	0	3649	3649	3100
Mon Nov 21 18:43:35 2022	1669074215	28	3674	3702	2862
Mon Nov 21 18:44:03 2022	1669074243	0	3710	3710	3216
Mon Nov 21 18:43:55 2022	1669074235	0	3717	3717	2988
Mon Nov 21 18:44:03 2022	1669074243	0	3720	3720	3073
Mon Nov 21 18:44:05 2022	1669074245	0	3732	3732	2827
Mon Nov 21 18:43:45 2022	1669074225	0	3736	3736	3022
Mon Nov 21 18:43:54 2022	1669074234	0	3761	3761	2880
Mon Nov 21 18:44:05 2022	1669074245	0	3794	3794	3213
Mon Nov 21 18:43:57 2022	1669074237	0	3802	3802	2470
Mon Nov 21 18:43:40 2022	1669074220	0	3826	3826	2951
Mon Nov 21 18:43:49 2022	1669074229	0	3827	3827	3280
