starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 03 16:26:04 2022	1670102764	18	2712	2730	1073
Sat Dec 03 16:33:11 2022	1670103191	12	30005	30017	0
Sat Dec 03 16:30:43 2022	1670103043	10	30011	30021	0
Sat Dec 03 16:29:41 2022	1670102981	16	30006	30022	0
Sat Dec 03 16:29:39 2022	1670102979	10	30015	30025	0
Sat Dec 03 16:29:40 2022	1670102980	17	30009	30026	0
Sat Dec 03 16:30:41 2022	1670103041	16	30011	30027	0
Sat Dec 03 16:34:11 2022	1670103251	10	30017	30027	0
Sat Dec 03 16:32:41 2022	1670103161	13	30014	30028	0
Sat Dec 03 16:31:39 2022	1670103099	12	30017	30029	0
Sat Dec 03 16:27:09 2022	1670102829	27	30006	30033	1073
Sat Dec 03 16:32:13 2022	1670103133	14	30020	30034	0
Sat Dec 03 16:34:44 2022	1670103284	12	30025	30037	0
Sat Dec 03 16:31:13 2022	1670103073	16	30021	30037	0
Sat Dec 03 16:33:14 2022	1670103194	14	30024	30038	0
Sat Dec 03 16:30:10 2022	1670103010	11	30027	30038	0
Sat Dec 03 16:31:12 2022	1670103072	15	30023	30038	0
Sat Dec 03 16:31:40 2022	1670103100	30	30010	30040	0
Sat Dec 03 16:29:10 2022	1670102950	13	30031	30044	1073
Sat Dec 03 16:34:10 2022	1670103250	11	30036	30047	0
Sat Dec 03 16:29:08 2022	1670102948	24	30024	30048	0
Sat Dec 03 16:33:11 2022	1670103191	14	30034	30048	0
Sat Dec 03 16:27:07 2022	1670102827	13	30036	30048	0
Sat Dec 03 16:35:47 2022	1670103347	10	30038	30048	0
Sat Dec 03 16:31:42 2022	1670103102	13	30036	30048	0
Sat Dec 03 16:29:39 2022	1670102979	24	30025	30049	0
Sat Dec 03 16:28:08 2022	1670102888	23	30027	30050	0
Sat Dec 03 16:30:11 2022	1670103011	11	30041	30052	0
Sat Dec 03 16:33:15 2022	1670103195	11	30043	30054	0
Sat Dec 03 16:35:46 2022	1670103346	13	30043	30056	1073
Sat Dec 03 16:27:40 2022	1670102860	13	30047	30060	0
Sat Dec 03 16:30:09 2022	1670103009	11	30049	30060	0
Sat Dec 03 16:31:41 2022	1670103101	10	30051	30062	0
Sat Dec 03 16:32:10 2022	1670103130	11	30052	30063	0
Sat Dec 03 16:35:48 2022	1670103348	10	30053	30063	0
Sat Dec 03 16:35:15 2022	1670103315	14	30054	30068	0
Sat Dec 03 16:30:42 2022	1670103042	10	30059	30069	0
Sat Dec 03 16:28:38 2022	1670102918	12	30059	30071	0
Sat Dec 03 16:31:10 2022	1670103070	14	30058	30072	0
Sat Dec 03 16:29:40 2022	1670102980	10	30062	30072	0
Sat Dec 03 16:32:42 2022	1670103162	14	30058	30072	0
Sat Dec 03 16:29:07 2022	1670102947	13	30060	30072	0
Sat Dec 03 16:34:45 2022	1670103285	14	30060	30073	0
Sat Dec 03 16:31:11 2022	1670103071	12	30062	30073	0
Sat Dec 03 16:34:44 2022	1670103284	11	30064	30075	0
Sat Dec 03 16:35:12 2022	1670103312	10	30066	30077	0
Sat Dec 03 16:35:42 2022	1670103342	11	30067	30078	0
Sat Dec 03 16:31:42 2022	1670103102	15	30064	30079	0
Sat Dec 03 16:32:11 2022	1670103131	12	30070	30081	0
Sat Dec 03 16:27:37 2022	1670102857	12	30070	30082	0
Sat Dec 03 16:27:39 2022	1670102859	13	30070	30083	0
Sat Dec 03 16:27:07 2022	1670102827	13	30070	30083	0
Sat Dec 03 16:33:43 2022	1670103223	10	30074	30084	0
Sat Dec 03 16:35:17 2022	1670103317	11	30075	30086	0
Sat Dec 03 16:28:07 2022	1670102887	9	30077	30086	0
Sat Dec 03 16:32:43 2022	1670103163	14	30073	30087	0
Sat Dec 03 16:28:08 2022	1670102888	22	30066	30089	0
Sat Dec 03 16:33:40 2022	1670103220	12	30078	30090	0
Sat Dec 03 16:30:10 2022	1670103010	15	30076	30091	0
Sat Dec 03 16:30:41 2022	1670103041	12	30082	30094	1073
Sat Dec 03 16:27:37 2022	1670102857	19	30076	30094	0
Sat Dec 03 16:33:44 2022	1670103224	26	30070	30096	0
Sat Dec 03 16:33:40 2022	1670103220	12	30084	30096	0
Sat Dec 03 16:34:41 2022	1670103281	16	30081	30097	0
Sat Dec 03 16:34:44 2022	1670103284	14	30084	30098	0
Sat Dec 03 16:35:42 2022	1670103342	29	30069	30098	0
Sat Dec 03 16:26:06 2022	1670102766	42	30057	30099	0
Sat Dec 03 16:28:40 2022	1670102920	15	30084	30099	0
Sat Dec 03 16:29:38 2022	1670102978	11	30090	30101	0
Sat Dec 03 16:34:14 2022	1670103254	55	30047	30102	0
Sat Dec 03 16:32:10 2022	1670103130	9	30094	30103	0
Sat Dec 03 16:33:10 2022	1670103190	11	30093	30104	0
Sat Dec 03 16:30:40 2022	1670103040	21	30084	30105	0
Sat Dec 03 16:33:44 2022	1670103224	13	30092	30106	0
Sat Dec 03 16:31:41 2022	1670103101	11	30095	30106	0
Sat Dec 03 16:31:11 2022	1670103071	10	30097	30108	0
Sat Dec 03 16:33:40 2022	1670103220	15	30093	30108	0
Sat Dec 03 16:34:42 2022	1670103282	14	30095	30109	0
Sat Dec 03 16:30:41 2022	1670103041	17	30092	30109	0
Sat Dec 03 16:33:11 2022	1670103191	34	30075	30109	0
Sat Dec 03 16:32:42 2022	1670103162	11	30098	30110	0
Sat Dec 03 16:26:37 2022	1670102797	19	30093	30112	0
Sat Dec 03 16:29:10 2022	1670102950	15	30098	30113	0
Sat Dec 03 16:33:15 2022	1670103195	14	30100	30114	0
Sat Dec 03 16:34:45 2022	1670103285	11	30103	30114	0
Sat Dec 03 16:32:11 2022	1670103131	10	30104	30115	0
Sat Dec 03 16:28:08 2022	1670102888	13	30102	30115	0
Sat Dec 03 16:33:42 2022	1670103222	12	30104	30116	0
Sat Dec 03 16:33:41 2022	1670103221	12	30106	30117	0
Sat Dec 03 16:26:37 2022	1670102797	23	30095	30118	0
Sat Dec 03 16:29:10 2022	1670102950	57	30062	30119	0
Sat Dec 03 16:28:39 2022	1670102919	16	30103	30119	0
Sat Dec 03 16:26:36 2022	1670102796	11	30108	30119	0
Sat Dec 03 16:34:13 2022	1670103253	14	30106	30120	0
Sat Dec 03 16:29:38 2022	1670102978	14	30107	30121	0
Sat Dec 03 16:31:09 2022	1670103069	18	30103	30121	0
Sat Dec 03 16:30:42 2022	1670103042	14	30109	30123	0
Sat Dec 03 16:31:40 2022	1670103100	13	30111	30124	0
Sat Dec 03 16:34:13 2022	1670103253	15	30111	30126	0
Sat Dec 03 16:29:41 2022	1670102981	11	30116	30127	0
Sat Dec 03 16:26:37 2022	1670102797	12	30116	30128	0
Sat Dec 03 16:26:06 2022	1670102766	58	30071	30129	0
Sat Dec 03 16:29:08 2022	1670102948	14	30115	30129	0
Sat Dec 03 16:27:07 2022	1670102827	40	30090	30130	0
Sat Dec 03 16:30:41 2022	1670103041	15	30117	30132	0
Sat Dec 03 16:26:06 2022	1670102766	38	30094	30132	0
Sat Dec 03 16:33:11 2022	1670103191	18	30114	30132	0
Sat Dec 03 16:27:37 2022	1670102857	15	30119	30134	0
Sat Dec 03 16:34:12 2022	1670103252	11	30123	30134	0
Sat Dec 03 16:28:09 2022	1670102889	12	30123	30135	1073
Sat Dec 03 16:27:07 2022	1670102827	21	30113	30135	0
Sat Dec 03 16:32:45 2022	1670103165	12	30124	30136	0
Sat Dec 03 16:27:39 2022	1670102859	14	30123	30136	0
Sat Dec 03 16:27:38 2022	1670102858	12	30126	30138	0
Sat Dec 03 16:32:40 2022	1670103160	11	30128	30138	0
Sat Dec 03 16:27:39 2022	1670102859	11	30128	30139	0
Sat Dec 03 16:27:37 2022	1670102857	13	30127	30140	0
Sat Dec 03 16:33:41 2022	1670103221	11	30130	30141	0
Sat Dec 03 16:32:11 2022	1670103131	11	30131	30142	0
Sat Dec 03 16:33:14 2022	1670103194	9	30133	30142	0
Sat Dec 03 16:35:14 2022	1670103314	11	30132	30143	0
Sat Dec 03 16:27:07 2022	1670102827	17	30127	30144	0
Sat Dec 03 16:34:42 2022	1670103282	15	30129	30144	0
Sat Dec 03 16:27:07 2022	1670102827	15	30130	30145	0
Sat Dec 03 16:28:07 2022	1670102887	14	30131	30145	0
Sat Dec 03 16:35:16 2022	1670103316	11	30135	30145	0
Sat Dec 03 16:33:44 2022	1670103224	12	30133	30145	0
Sat Dec 03 16:29:11 2022	1670102951	11	30135	30146	0
Sat Dec 03 16:27:07 2022	1670102827	11	30137	30148	0
Sat Dec 03 16:28:38 2022	1670102918	11	30141	30152	0
Sat Dec 03 16:35:43 2022	1670103343	12	30142	30153	0
Sat Dec 03 16:32:41 2022	1670103161	10	30143	30153	0
Sat Dec 03 16:34:15 2022	1670103255	16	30141	30156	0
Sat Dec 03 16:26:37 2022	1670102797	13	30143	30156	0
Sat Dec 03 16:30:41 2022	1670103041	17	30139	30156	0
Sat Dec 03 16:27:38 2022	1670102858	12	30145	30157	0
Sat Dec 03 16:29:40 2022	1670102980	13	30146	30158	0
Sat Dec 03 16:34:14 2022	1670103254	19	30140	30159	0
Sat Dec 03 16:26:06 2022	1670102766	58	30101	30159	0
Sat Dec 03 16:32:12 2022	1670103132	13	30151	30163	0
Sat Dec 03 16:31:40 2022	1670103100	17	30147	30164	0
Sat Dec 03 16:30:40 2022	1670103040	16	30149	30165	0
Sat Dec 03 16:32:39 2022	1670103159	10	30155	30165	0
Sat Dec 03 16:35:15 2022	1670103315	16	30151	30167	0
Sat Dec 03 16:29:10 2022	1670102950	14	30155	30169	0
Sat Dec 03 16:31:10 2022	1670103070	15	30154	30169	0
Sat Dec 03 16:33:13 2022	1670103193	13	30157	30170	0
Sat Dec 03 16:27:07 2022	1670102827	19	30151	30170	0
Sat Dec 03 16:28:07 2022	1670102887	10	30160	30171	0
Sat Dec 03 16:26:36 2022	1670102796	12	30159	30171	0
Sat Dec 03 16:33:13 2022	1670103193	27	30144	30171	0
Sat Dec 03 16:27:38 2022	1670102858	12	30160	30173	0
Sat Dec 03 16:31:11 2022	1670103071	11	30162	30173	0
Sat Dec 03 16:35:44 2022	1670103344	10	30163	30173	0
Sat Dec 03 16:33:43 2022	1670103223	12	30162	30174	0
Sat Dec 03 16:27:08 2022	1670102828	25	30149	30174	0
Sat Dec 03 16:28:39 2022	1670102919	12	30162	30174	0
Sat Dec 03 16:31:41 2022	1670103101	19	30157	30176	0
Sat Dec 03 16:30:39 2022	1670103039	11	30167	30178	0
Sat Dec 03 16:28:09 2022	1670102889	21	30159	30181	0
Sat Dec 03 16:30:09 2022	1670103009	15	30167	30182	0
Sat Dec 03 16:26:06 2022	1670102766	42	30140	30182	0
Sat Dec 03 16:34:41 2022	1670103281	12	30172	30184	0
Sat Dec 03 16:28:09 2022	1670102889	12	30173	30184	0
Sat Dec 03 16:32:41 2022	1670103161	45	30140	30184	0
Sat Dec 03 16:28:10 2022	1670102890	13	30173	30186	0
Sat Dec 03 16:33:47 2022	1670103227	11	30176	30187	0
Sat Dec 03 16:34:45 2022	1670103285	12	30175	30187	0
Sat Dec 03 16:32:14 2022	1670103134	11	30177	30188	0
Sat Dec 03 16:27:08 2022	1670102828	14	30174	30188	0
Sat Dec 03 16:30:39 2022	1670103039	21	30168	30189	0
Sat Dec 03 16:26:06 2022	1670102766	46	30143	30190	0
Sat Dec 03 16:29:09 2022	1670102949	12	30177	30190	0
Sat Dec 03 16:27:07 2022	1670102827	23	30172	30195	0
Sat Dec 03 16:28:41 2022	1670102921	14	30182	30196	0
Sat Dec 03 16:28:09 2022	1670102889	17	30179	30197	0
Sat Dec 03 16:34:10 2022	1670103250	17	30181	30197	0
Sat Dec 03 16:27:37 2022	1670102857	18	30179	30198	0
Sat Dec 03 16:27:07 2022	1670102827	26	30172	30198	0
Sat Dec 03 16:32:44 2022	1670103164	12	30186	30198	0
Sat Dec 03 16:32:12 2022	1670103132	9	30191	30199	0
Sat Dec 03 16:30:10 2022	1670103010	11	30190	30201	0
Sat Dec 03 16:32:40 2022	1670103160	13	30188	30201	0
Sat Dec 03 16:32:12 2022	1670103132	12	30190	30202	0
Sat Dec 03 16:34:12 2022	1670103252	10	30193	30204	0
Sat Dec 03 16:31:09 2022	1670103069	22	30181	30204	0
Sat Dec 03 16:35:18 2022	1670103318	12	30196	30208	0
Sat Dec 03 16:33:41 2022	1670103221	10	30198	30209	0
Sat Dec 03 16:28:08 2022	1670102888	13	30197	30210	0
Sat Dec 03 16:34:17 2022	1670103257	12	30199	30210	0
Sat Dec 03 16:27:38 2022	1670102858	11	30201	30211	0
Sat Dec 03 16:31:45 2022	1670103105	11	30201	30212	0
Sat Dec 03 16:32:45 2022	1670103165	12	30201	30212	0
Sat Dec 03 16:30:08 2022	1670103008	12	30201	30212	0
Sat Dec 03 16:33:42 2022	1670103222	11	30202	30214	0
Sat Dec 03 16:32:46 2022	1670103166	11	30204	30215	0
Sat Dec 03 16:29:09 2022	1670102949	10	30205	30215	0
Sat Dec 03 16:32:10 2022	1670103130	11	30204	30215	0
Sat Dec 03 16:28:38 2022	1670102918	12	30204	30215	0
Sat Dec 03 16:33:10 2022	1670103190	10	30207	30218	0
Sat Dec 03 16:27:39 2022	1670102859	18	30200	30218	1073
Sat Dec 03 16:29:09 2022	1670102949	12	30207	30219	0
Sat Dec 03 16:29:38 2022	1670102978	13	30208	30221	0
Sat Dec 03 16:29:09 2022	1670102949	10	30212	30223	0
Sat Dec 03 16:29:41 2022	1670102981	11	30214	30225	0
Sat Dec 03 16:32:09 2022	1670103129	11	30221	30232	0
Sat Dec 03 16:34:10 2022	1670103250	16	30224	30239	0
Sat Dec 03 16:26:06 2022	1670102766	58	30183	30240	0
Sat Dec 03 16:31:40 2022	1670103100	13	30231	30244	0
Sat Dec 03 16:27:37 2022	1670102857	10	30234	30245	0
Sat Dec 03 16:26:37 2022	1670102797	89	30158	30247	0
Sat Dec 03 16:35:44 2022	1670103344	11	30237	30248	0
Sat Dec 03 16:26:37 2022	1670102797	11	30240	30251	0
Sat Dec 03 16:28:38 2022	1670102918	21	30231	30252	0
Sat Dec 03 16:35:42 2022	1670103342	13	30240	30253	0
Sat Dec 03 16:29:41 2022	1670102981	13	30241	30254	0
Sat Dec 03 16:26:37 2022	1670102797	12	30242	30254	0
Sat Dec 03 16:32:13 2022	1670103133	10	30247	30256	0
Sat Dec 03 16:32:41 2022	1670103161	12	30245	30257	0
Sat Dec 03 16:32:41 2022	1670103161	11	30248	30259	0
Sat Dec 03 16:26:38 2022	1670102798	13	30246	30259	0
Sat Dec 03 16:31:09 2022	1670103069	12	30247	30259	0
Sat Dec 03 16:34:13 2022	1670103253	9	30250	30260	0
Sat Dec 03 16:32:41 2022	1670103161	16	30243	30260	0
Sat Dec 03 16:33:42 2022	1670103222	25	30236	30260	0
Sat Dec 03 16:26:36 2022	1670102796	31	30233	30264	0
Sat Dec 03 16:26:37 2022	1670102797	10	30254	30264	0
Sat Dec 03 16:34:47 2022	1670103287	12	30253	30265	0
Sat Dec 03 16:31:15 2022	1670103075	11	30255	30266	0
Sat Dec 03 16:31:41 2022	1670103101	13	30255	30268	0
Sat Dec 03 16:30:11 2022	1670103011	14	30256	30270	0
Sat Dec 03 16:28:40 2022	1670102920	14	30257	30270	0
Sat Dec 03 16:32:10 2022	1670103130	13	30258	30271	0
Sat Dec 03 16:33:11 2022	1670103191	13	30259	30272	0
Sat Dec 03 16:28:08 2022	1670102888	10	30263	30272	0
Sat Dec 03 16:27:38 2022	1670102858	11	30265	30275	0
Sat Dec 03 16:35:14 2022	1670103314	15	30261	30276	0
Sat Dec 03 16:32:42 2022	1670103162	10	30268	30278	0
Sat Dec 03 16:30:41 2022	1670103041	17	30263	30280	0
Sat Dec 03 16:34:42 2022	1670103282	10	30271	30281	0
Sat Dec 03 16:26:38 2022	1670102798	14	30268	30281	1073
Sat Dec 03 16:26:06 2022	1670102766	48	30234	30282	0
Sat Dec 03 16:35:16 2022	1670103316	26	30256	30283	1073
Sat Dec 03 16:32:43 2022	1670103163	12	30272	30284	0
Sat Dec 03 16:30:42 2022	1670103042	14	30270	30284	0
Sat Dec 03 16:27:38 2022	1670102858	12	30273	30285	0
Sat Dec 03 16:35:17 2022	1670103317	11	30276	30287	0
Sat Dec 03 16:26:06 2022	1670102766	42	30247	30289	0
Sat Dec 03 16:34:42 2022	1670103282	9	30282	30291	0
Sat Dec 03 16:26:06 2022	1670102766	58	30234	30292	0
Sat Dec 03 16:35:41 2022	1670103341	17	30275	30292	0
Sat Dec 03 16:32:43 2022	1670103163	12	30281	30293	0
Sat Dec 03 16:27:09 2022	1670102829	13	30281	30295	0
Sat Dec 03 16:31:12 2022	1670103072	11	30284	30295	0
Sat Dec 03 16:31:42 2022	1670103102	13	30282	30295	0
Sat Dec 03 16:34:14 2022	1670103254	18	30279	30298	0
Sat Dec 03 16:29:08 2022	1670102948	12	30287	30299	0
Sat Dec 03 16:31:10 2022	1670103070	11	30292	30302	0
Sat Dec 03 16:31:12 2022	1670103072	16	30288	30304	0
Sat Dec 03 16:34:46 2022	1670103286	12	30292	30305	1073
Sat Dec 03 16:26:37 2022	1670102797	13	30294	30307	0
