starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 21 18:48:58 2022	1669074538	48	1318	1365	494
Mon Nov 21 18:48:58 2022	1669074538	13	1363	1376	595
Mon Nov 21 18:50:29 2022	1669074629	0	1545	1545	553
Mon Nov 21 18:49:21 2022	1669074561	0	1570	1570	391
Mon Nov 21 18:49:19 2022	1669074559	0	1725	1725	504
Mon Nov 21 18:49:21 2022	1669074561	0	1874	1874	313
Mon Nov 21 18:50:30 2022	1669074630	0	1883	1883	696
Mon Nov 21 18:49:30 2022	1669074570	0	1917	1917	406
Mon Nov 21 18:48:58 2022	1669074538	51	1886	1937	1207
Mon Nov 21 18:49:19 2022	1669074559	0	1962	1962	413
Mon Nov 21 18:50:26 2022	1669074626	0	1993	1993	333
Mon Nov 21 18:49:22 2022	1669074562	0	2023	2023	554
Mon Nov 21 18:50:26 2022	1669074626	0	2143	2143	637
Mon Nov 21 18:50:32 2022	1669074632	0	2298	2298	471
Mon Nov 21 18:50:21 2022	1669074621	0	2438	2438	438
Mon Nov 21 18:48:58 2022	1669074538	52	2460	2512	1320
Mon Nov 21 18:50:28 2022	1669074628	0	2576	2576	1015
Mon Nov 21 18:50:34 2022	1669074634	0	2913	2913	488
Mon Nov 21 18:49:16 2022	1669074556	0	2935	2935	975
Mon Nov 21 18:50:37 2022	1669074637	0	2972	2972	610
Mon Nov 21 18:50:31 2022	1669074631	0	2976	2976	759
Mon Nov 21 18:49:32 2022	1669074572	0	3052	3052	392
Mon Nov 21 18:50:23 2022	1669074623	0	3229	3229	1493
Mon Nov 21 18:49:16 2022	1669074556	0	3309	3309	966
Mon Nov 21 18:49:56 2022	1669074596	0	3312	3312	659
Mon Nov 21 18:50:17 2022	1669074617	0	3343	3343	737
Mon Nov 21 18:49:16 2022	1669074556	0	3414	3414	556
Mon Nov 21 18:50:37 2022	1669074637	0	3500	3500	589
Mon Nov 21 18:50:35 2022	1669074635	0	3502	3502	349
Mon Nov 21 18:50:10 2022	1669074610	0	3564	3564	354
Mon Nov 21 18:49:13 2022	1669074553	0	3565	3565	972
Mon Nov 21 18:50:34 2022	1669074634	0	3600	3600	797
Mon Nov 21 18:48:58 2022	1669074538	167	3480	3646	1835
Mon Nov 21 18:48:58 2022	1669074538	56	3596	3651	1659
Mon Nov 21 18:49:20 2022	1669074560	0	3666	3666	391
Mon Nov 21 18:49:08 2022	1669074548	0	3746	3746	404
Mon Nov 21 18:49:14 2022	1669074554	0	3774	3774	684
Mon Nov 21 18:49:16 2022	1669074556	0	3866	3866	1279
Mon Nov 21 18:49:52 2022	1669074592	0	3904	3904	359
Mon Nov 21 18:49:57 2022	1669074597	0	3908	3908	336
Mon Nov 21 18:49:05 2022	1669074545	0	3992	3992	560
Mon Nov 21 18:49:09 2022	1669074549	0	4033	4033	524
Mon Nov 21 18:49:43 2022	1669074583	0	4049	4049	562
Mon Nov 21 18:50:29 2022	1669074629	0	4103	4103	458
Mon Nov 21 18:49:47 2022	1669074587	0	4114	4114	549
Mon Nov 21 18:49:12 2022	1669074552	0	4153	4153	802
Mon Nov 21 18:49:10 2022	1669074550	0	4171	4171	580
Mon Nov 21 18:49:11 2022	1669074551	0	4286	4286	671
Mon Nov 21 18:50:12 2022	1669074612	0	4353	4353	416
Mon Nov 21 18:49:11 2022	1669074551	0	4406	4406	602
Mon Nov 21 18:49:09 2022	1669074549	0	4427	4427	564
Mon Nov 21 18:49:48 2022	1669074588	0	4521	4521	374
Mon Nov 21 18:50:37 2022	1669074637	0	4553	4553	351
Mon Nov 21 18:49:19 2022	1669074559	0	4557	4557	768
Mon Nov 21 18:48:58 2022	1669074538	53	4528	4582	2365
Mon Nov 21 18:49:43 2022	1669074583	0	4602	4602	514
Mon Nov 21 18:49:14 2022	1669074554	0	4615	4615	592
Mon Nov 21 18:48:58 2022	1669074538	162	4491	4653	2239
Mon Nov 21 18:49:11 2022	1669074551	0	4661	4661	897
Mon Nov 21 18:49:11 2022	1669074551	0	4672	4672	1298
Mon Nov 21 18:50:37 2022	1669074637	0	4679	4679	1014
Mon Nov 21 18:49:53 2022	1669074593	0	4757	4757	612
Mon Nov 21 18:50:22 2022	1669074622	0	4859	4859	1677
Mon Nov 21 18:49:51 2022	1669074591	0	4865	4865	697
Mon Nov 21 18:49:11 2022	1669074551	0	4886	4886	531
Mon Nov 21 18:50:25 2022	1669074625	0	4918	4918	375
