starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 03 21:12:13 2022	1670119933	0	261	261	260
Sat Dec 03 21:12:12 2022	1670119932	19	346	365	344
Sat Dec 03 21:12:13 2022	1670119933	47	323	370	323
Sat Dec 03 21:12:13 2022	1670119933	49	463	511	462
Sat Dec 03 21:12:13 2022	1670119933	47	567	614	567
Sat Dec 03 21:12:13 2022	1670119933	49	673	722	672
Sat Dec 03 21:12:13 2022	1670119933	48	874	922	874
Sat Dec 03 21:12:13 2022	1670119933	47	907	953	906
Sat Dec 03 21:12:13 2022	1670119933	51	1005	1056	1005
Sat Dec 03 21:12:13 2022	1670119933	50	1178	1228	1177
Sat Dec 03 21:12:13 2022	1670119933	51	1382	1433	1382
Sat Dec 03 21:12:13 2022	1670119933	51	1424	1476	1424
Sat Dec 03 21:12:13 2022	1670119933	52	1547	1599	1547
Sat Dec 03 21:12:13 2022	1670119933	52	1688	1740	1688
Sat Dec 03 21:12:13 2022	1670119933	52	1790	1842	1790
Sat Dec 03 21:12:13 2022	1670119933	52	1914	1967	1914
Sat Dec 03 21:12:13 2022	1670119933	54	2017	2071	2016
Sat Dec 03 21:12:13 2022	1670119933	54	2122	2176	2122
Sat Dec 03 21:12:13 2022	1670119933	54	2240	2294	2240
Sat Dec 03 21:12:13 2022	1670119933	54	2345	2400	2345
Sat Dec 03 21:12:13 2022	1670119933	54	2445	2499	2445
Sat Dec 03 21:12:13 2022	1670119933	56	2707	2763	2707
Sat Dec 03 21:12:13 2022	1670119933	55	2715	2770	2715
Sat Dec 03 21:12:13 2022	1670119933	58	2824	2882	2824
Sat Dec 03 21:12:13 2022	1670119933	59	2940	2999	2940
Sat Dec 03 21:12:28 2022	1670119948	0	3095	3095	3094
Sat Dec 03 21:12:13 2022	1670119933	60	3045	3106	3045
Sat Dec 03 21:12:23 2022	1670119943	0	3165	3165	3165
Sat Dec 03 21:12:27 2022	1670119947	0	3166	3166	3166
Sat Dec 03 21:12:27 2022	1670119947	0	3171	3171	3171
Sat Dec 03 21:12:23 2022	1670119943	0	3175	3175	3175
Sat Dec 03 21:12:16 2022	1670119936	0	3181	3181	3181
Sat Dec 03 21:12:28 2022	1670119948	0	3187	3187	3186
Sat Dec 03 21:12:28 2022	1670119948	0	3192	3192	3191
Sat Dec 03 21:12:42 2022	1670119962	0	3193	3193	3193
Sat Dec 03 21:12:27 2022	1670119947	0	3194	3194	3194
Sat Dec 03 21:12:27 2022	1670119947	0	3203	3203	3203
Sat Dec 03 21:12:31 2022	1670119951	0	3204	3204	3204
Sat Dec 03 21:12:28 2022	1670119948	0	3209	3209	3209
Sat Dec 03 21:12:13 2022	1670119933	62	3150	3211	3150
Sat Dec 03 21:12:29 2022	1670119949	0	3212	3212	3212
Sat Dec 03 21:12:29 2022	1670119949	0	3213	3213	3213
Sat Dec 03 21:12:27 2022	1670119947	0	3213	3213	3213
Sat Dec 03 21:12:28 2022	1670119948	0	3215	3215	3214
Sat Dec 03 21:12:27 2022	1670119947	0	3215	3215	3215
Sat Dec 03 21:12:27 2022	1670119947	0	3216	3216	3216
Sat Dec 03 21:12:33 2022	1670119953	0	3217	3217	3216
Sat Dec 03 21:12:28 2022	1670119948	0	3217	3217	3217
Sat Dec 03 21:12:28 2022	1670119948	0	3217	3217	3217
Sat Dec 03 21:12:23 2022	1670119943	0	3218	3218	3218
Sat Dec 03 21:12:29 2022	1670119949	0	3219	3219	3219
Sat Dec 03 21:12:28 2022	1670119948	0	3220	3220	3220
Sat Dec 03 21:12:29 2022	1670119949	0	3220	3220	3220
Sat Dec 03 21:12:40 2022	1670119960	0	3222	3222	3222
Sat Dec 03 21:12:23 2022	1670119943	0	3223	3223	3223
Sat Dec 03 21:12:29 2022	1670119949	0	3223	3223	3223
Sat Dec 03 21:12:29 2022	1670119949	0	3223	3223	3223
Sat Dec 03 21:12:24 2022	1670119944	0	3226	3226	3225
Sat Dec 03 21:12:24 2022	1670119944	0	3226	3226	3226
Sat Dec 03 21:12:23 2022	1670119943	0	3226	3226	3226
Sat Dec 03 21:12:23 2022	1670119943	0	3227	3227	3226
Sat Dec 03 21:12:24 2022	1670119944	0	3227	3227	3227
Sat Dec 03 21:12:29 2022	1670119949	0	3227	3227	3227
Sat Dec 03 21:12:29 2022	1670119949	0	3228	3228	3228
Sat Dec 03 21:12:27 2022	1670119947	0	3228	3228	3228
Sat Dec 03 21:12:30 2022	1670119950	0	3232	3232	3232
Sat Dec 03 21:12:30 2022	1670119950	0	3232	3232	3232
Sat Dec 03 21:12:32 2022	1670119952	0	3234	3234	3234
Sat Dec 03 21:12:23 2022	1670119943	0	3235	3235	3235
Sat Dec 03 21:12:40 2022	1670119960	0	3235	3235	3235
Sat Dec 03 21:12:24 2022	1670119944	0	3236	3236	3236
Sat Dec 03 21:12:40 2022	1670119960	0	3236	3236	3236
Sat Dec 03 21:12:30 2022	1670119950	0	3239	3239	3239
Sat Dec 03 21:12:41 2022	1670119961	0	3239	3239	3239
Sat Dec 03 21:12:29 2022	1670119949	0	3240	3240	3240
Sat Dec 03 21:12:32 2022	1670119952	0	3240	3240	3240
Sat Dec 03 21:12:42 2022	1670119962	0	3240	3240	3240
Sat Dec 03 21:12:42 2022	1670119962	0	3242	3242	3242
Sat Dec 03 21:12:34 2022	1670119954	0	3242	3242	3242
Sat Dec 03 21:12:30 2022	1670119950	0	3243	3243	3242
Sat Dec 03 21:12:40 2022	1670119960	0	3244	3244	3243
Sat Dec 03 21:12:41 2022	1670119961	0	3244	3244	3243
Sat Dec 03 21:12:39 2022	1670119959	0	3244	3244	3244
Sat Dec 03 21:12:34 2022	1670119954	0	3245	3245	3245
Sat Dec 03 21:12:35 2022	1670119955	0	3245	3245	3245
Sat Dec 03 21:12:40 2022	1670119960	0	3245	3245	3245
Sat Dec 03 21:12:24 2022	1670119944	0	3245	3245	3245
Sat Dec 03 21:12:31 2022	1670119951	0	3247	3247	3246
Sat Dec 03 21:12:23 2022	1670119943	0	3247	3247	3247
Sat Dec 03 21:12:41 2022	1670119961	0	3247	3247	3247
Sat Dec 03 21:12:22 2022	1670119942	0	3248	3248	3247
Sat Dec 03 21:12:40 2022	1670119960	0	3248	3248	3248
Sat Dec 03 21:12:40 2022	1670119960	0	3248	3248	3248
Sat Dec 03 21:12:22 2022	1670119942	0	3248	3248	3248
Sat Dec 03 21:12:41 2022	1670119961	0	3249	3249	3249
Sat Dec 03 21:12:22 2022	1670119942	0	3251	3251	3251
Sat Dec 03 21:12:31 2022	1670119951	0	3251	3251	3251
Sat Dec 03 21:12:31 2022	1670119951	0	3252	3252	3252
Sat Dec 03 21:12:30 2022	1670119950	0	3252	3252	3252
Sat Dec 03 21:12:34 2022	1670119954	0	3252	3252	3252
Sat Dec 03 21:12:41 2022	1670119961	0	3252	3252	3252
Sat Dec 03 21:12:34 2022	1670119954	0	3253	3253	3252
Sat Dec 03 21:12:42 2022	1670119962	0	3253	3253	3253
Sat Dec 03 21:12:22 2022	1670119942	0	3253	3253	3253
Sat Dec 03 21:12:42 2022	1670119962	0	3254	3254	3254
Sat Dec 03 21:12:41 2022	1670119961	0	3254	3254	3254
Sat Dec 03 21:12:41 2022	1670119961	0	3254	3254	3254
Sat Dec 03 21:12:32 2022	1670119952	0	3254	3254	3254
Sat Dec 03 21:12:33 2022	1670119953	0	3254	3254	3254
Sat Dec 03 21:12:25 2022	1670119945	0	3254	3254	3254
Sat Dec 03 21:12:24 2022	1670119944	0	3254	3254	3254
Sat Dec 03 21:12:19 2022	1670119939	0	3255	3255	3255
Sat Dec 03 21:12:25 2022	1670119945	0	3255	3255	3255
Sat Dec 03 21:12:41 2022	1670119961	0	3256	3256	3255
Sat Dec 03 21:12:32 2022	1670119952	0	3256	3256	3256
Sat Dec 03 21:12:22 2022	1670119942	0	3256	3256	3256
Sat Dec 03 21:12:34 2022	1670119954	0	3257	3257	3256
Sat Dec 03 21:12:25 2022	1670119945	0	3258	3258	3258
Sat Dec 03 21:12:22 2022	1670119942	0	3258	3258	3258
Sat Dec 03 21:12:33 2022	1670119953	0	3258	3258	3258
Sat Dec 03 21:12:20 2022	1670119940	0	3258	3258	3258
Sat Dec 03 21:12:22 2022	1670119942	0	3258	3258	3258
Sat Dec 03 21:12:42 2022	1670119962	0	3258	3258	3258
Sat Dec 03 21:12:21 2022	1670119941	0	3258	3258	3258
Sat Dec 03 21:12:42 2022	1670119962	0	3259	3259	3258
Sat Dec 03 21:12:40 2022	1670119960	0	3259	3259	3259
Sat Dec 03 21:12:41 2022	1670119961	0	3260	3260	3260
Sat Dec 03 21:12:33 2022	1670119953	0	3261	3261	3260
Sat Dec 03 21:12:20 2022	1670119940	0	3261	3261	3261
Sat Dec 03 21:12:21 2022	1670119941	0	3261	3261	3261
Sat Dec 03 21:12:33 2022	1670119953	0	3261	3261	3261
Sat Dec 03 21:12:24 2022	1670119944	0	3262	3262	3262
Sat Dec 03 21:12:39 2022	1670119959	0	3262	3262	3262
Sat Dec 03 21:12:34 2022	1670119954	0	3263	3263	3263
Sat Dec 03 21:12:32 2022	1670119952	0	3263	3263	3263
Sat Dec 03 21:12:41 2022	1670119961	0	3263	3263	3263
Sat Dec 03 21:12:32 2022	1670119952	0	3263	3263	3263
Sat Dec 03 21:12:25 2022	1670119945	0	3263	3263	3263
Sat Dec 03 21:12:25 2022	1670119945	0	3264	3264	3263
Sat Dec 03 21:12:33 2022	1670119953	0	3264	3264	3264
Sat Dec 03 21:12:33 2022	1670119953	0	3264	3264	3264
Sat Dec 03 21:12:32 2022	1670119952	0	3265	3265	3264
Sat Dec 03 21:12:22 2022	1670119942	0	3265	3265	3265
Sat Dec 03 21:12:22 2022	1670119942	0	3265	3265	3265
Sat Dec 03 21:12:25 2022	1670119945	0	3266	3266	3265
Sat Dec 03 21:12:25 2022	1670119945	0	3266	3266	3265
Sat Dec 03 21:12:21 2022	1670119941	0	3266	3266	3266
Sat Dec 03 21:12:26 2022	1670119946	0	3266	3266	3266
Sat Dec 03 21:12:26 2022	1670119946	0	3266	3266	3266
Sat Dec 03 21:12:26 2022	1670119946	0	3266	3266	3266
Sat Dec 03 21:12:26 2022	1670119946	0	3266	3266	3266
Sat Dec 03 21:12:26 2022	1670119946	0	3266	3266	3266
Sat Dec 03 21:12:20 2022	1670119940	0	3267	3267	3266
Sat Dec 03 21:12:26 2022	1670119946	0	3267	3267	3266
Sat Dec 03 21:12:34 2022	1670119954	0	3267	3267	3267
Sat Dec 03 21:12:39 2022	1670119959	0	3267	3267	3267
Sat Dec 03 21:12:21 2022	1670119941	0	3268	3268	3267
Sat Dec 03 21:12:27 2022	1670119947	0	3268	3268	3268
Sat Dec 03 21:12:28 2022	1670119948	0	3268	3268	3268
Sat Dec 03 21:12:25 2022	1670119945	0	3269	3269	3268
Sat Dec 03 21:12:39 2022	1670119959	0	3269	3269	3269
Sat Dec 03 21:12:20 2022	1670119940	0	3269	3269	3269
Sat Dec 03 21:12:30 2022	1670119950	0	3269	3269	3269
Sat Dec 03 21:12:33 2022	1670119953	0	3269	3269	3269
Sat Dec 03 21:12:30 2022	1670119950	0	3269	3269	3269
Sat Dec 03 21:12:34 2022	1670119954	0	3270	3270	3270
Sat Dec 03 21:12:32 2022	1670119952	0	3270	3270	3270
Sat Dec 03 21:12:30 2022	1670119950	0	3270	3270	3270
Sat Dec 03 21:12:33 2022	1670119953	0	3270	3270	3270
Sat Dec 03 21:12:21 2022	1670119941	0	3270	3270	3270
Sat Dec 03 21:12:35 2022	1670119955	0	3270	3270	3270
Sat Dec 03 21:12:26 2022	1670119946	0	3271	3271	3271
Sat Dec 03 21:12:35 2022	1670119955	0	3271	3271	3271
Sat Dec 03 21:12:20 2022	1670119940	0	3271	3271	3271
Sat Dec 03 21:12:26 2022	1670119946	0	3272	3272	3272
Sat Dec 03 21:12:26 2022	1670119946	0	3272	3272	3272
Sat Dec 03 21:12:21 2022	1670119941	0	3273	3273	3273
Sat Dec 03 21:12:21 2022	1670119941	0	3273	3273	3273
Sat Dec 03 21:12:20 2022	1670119940	0	3274	3274	3273
Sat Dec 03 21:12:35 2022	1670119955	0	3274	3274	3274
Sat Dec 03 21:12:21 2022	1670119941	0	3274	3274	3274
Sat Dec 03 21:12:34 2022	1670119954	0	3276	3276	3276
Sat Dec 03 21:12:22 2022	1670119942	0	3276	3276	3276
Sat Dec 03 21:12:25 2022	1670119945	0	3277	3277	3277
Sat Dec 03 21:12:40 2022	1670119960	0	3278	3278	3277
Sat Dec 03 21:12:26 2022	1670119946	0	3278	3278	3278
Sat Dec 03 21:12:31 2022	1670119951	0	3278	3278	3278
Sat Dec 03 21:12:42 2022	1670119962	0	3279	3279	3279
Sat Dec 03 21:12:24 2022	1670119944	0	3281	3281	3281
Sat Dec 03 21:12:31 2022	1670119951	0	3282	3282	3281
Sat Dec 03 21:12:31 2022	1670119951	0	3282	3282	3282
Sat Dec 03 21:12:30 2022	1670119950	0	3285	3285	3285
Sat Dec 03 21:12:20 2022	1670119940	0	3286	3286	3286
Sat Dec 03 21:12:31 2022	1670119951	0	3287	3287	3287
Sat Dec 03 21:12:20 2022	1670119940	0	3288	3288	3288
Sat Dec 03 21:12:20 2022	1670119940	0	3290	3290	3290
Sat Dec 03 21:12:21 2022	1670119941	0	3291	3291	3291
Sat Dec 03 21:12:19 2022	1670119939	0	3292	3292	3292
Sat Dec 03 21:12:32 2022	1670119952	0	3292	3292	3292
Sat Dec 03 21:12:30 2022	1670119950	0	3293	3293	3293
Sat Dec 03 21:12:19 2022	1670119939	0	3295	3295	3294
Sat Dec 03 21:12:35 2022	1670119955	0	3296	3296	3296
Sat Dec 03 21:12:38 2022	1670119958	0	3297	3297	3297
Sat Dec 03 21:12:19 2022	1670119939	0	3297	3297	3297
Sat Dec 03 21:12:14 2022	1670119934	0	3298	3298	3298
Sat Dec 03 21:12:42 2022	1670119962	0	3298	3298	3298
Sat Dec 03 21:12:23 2022	1670119943	0	3298	3298	3298
Sat Dec 03 21:12:31 2022	1670119951	0	3299	3299	3298
Sat Dec 03 21:12:35 2022	1670119955	0	3300	3300	3300
Sat Dec 03 21:12:35 2022	1670119955	0	3301	3301	3300
Sat Dec 03 21:12:35 2022	1670119955	0	3301	3301	3301
Sat Dec 03 21:12:18 2022	1670119938	0	3302	3302	3302
Sat Dec 03 21:12:35 2022	1670119955	0	3305	3305	3304
Sat Dec 03 21:12:20 2022	1670119940	0	3305	3305	3305
Sat Dec 03 21:12:19 2022	1670119939	0	3305	3305	3305
Sat Dec 03 21:12:15 2022	1670119935	0	3311	3311	3311
Sat Dec 03 21:12:15 2022	1670119935	0	3311	3311	3311
Sat Dec 03 21:12:15 2022	1670119935	0	3311	3311	3311
Sat Dec 03 21:12:15 2022	1670119935	0	3312	3312	3312
Sat Dec 03 21:12:15 2022	1670119935	0	3316	3316	3316
Sat Dec 03 21:12:15 2022	1670119935	0	3317	3317	3317
Sat Dec 03 21:12:16 2022	1670119936	0	3317	3317	3317
Sat Dec 03 21:12:15 2022	1670119935	0	3317	3317	3317
Sat Dec 03 21:12:16 2022	1670119936	0	3324	3324	3324
Sat Dec 03 21:12:16 2022	1670119936	0	3325	3325	3324
Sat Dec 03 21:12:16 2022	1670119936	0	3327	3327	3326
Sat Dec 03 21:12:18 2022	1670119938	0	3330	3330	3330
Sat Dec 03 21:12:43 2022	1670119963	0	3330	3330	3330
Sat Dec 03 21:12:13 2022	1670119933	61	3270	3331	3270
