starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 14 20:59:58 2022	1668477598	16	2746	2762	1189
Mon Nov 14 21:02:07 2022	1668477727	12	30013	30025	0
Mon Nov 14 21:02:07 2022	1668477727	25	30015	30040	0
Mon Nov 14 21:02:05 2022	1668477725	12	30029	30041	0
Mon Nov 14 21:01:36 2022	1668477696	16	30026	30042	0
Mon Nov 14 21:01:33 2022	1668477693	21	30025	30047	0
Mon Nov 14 21:01:35 2022	1668477695	24	30026	30050	0
Mon Nov 14 21:02:06 2022	1668477726	13	30038	30051	0
Mon Nov 14 21:01:34 2022	1668477694	17	30037	30053	0
Mon Nov 14 21:02:02 2022	1668477722	14	30040	30055	0
Mon Nov 14 21:01:45 2022	1668477705	13	30057	30070	0
Mon Nov 14 21:01:36 2022	1668477696	24	30055	30079	0
Mon Nov 14 21:01:02 2022	1668477662	19	30060	30079	0
Mon Nov 14 21:00:31 2022	1668477631	22	30060	30082	0
Mon Nov 14 21:00:31 2022	1668477631	31	30051	30082	0
Mon Nov 14 21:02:09 2022	1668477729	20	30102	30122	0
Mon Nov 14 21:01:05 2022	1668477665	14	30121	30135	0
Mon Nov 14 21:01:04 2022	1668477664	18	30118	30136	0
Mon Nov 14 21:02:05 2022	1668477725	20	30118	30138	0
Mon Nov 14 21:02:12 2022	1668477732	25	30136	30161	0
Mon Nov 14 21:01:04 2022	1668477664	13	30148	30161	0
Mon Nov 14 21:00:31 2022	1668477631	36	30129	30165	0
Mon Nov 14 21:00:00 2022	1668477600	105	30061	30165	0
Mon Nov 14 21:02:02 2022	1668477722	26	30146	30172	0
Mon Nov 14 21:00:34 2022	1668477634	17	30168	30185	0
Mon Nov 14 21:01:01 2022	1668477661	25	30165	30190	0
Mon Nov 14 21:02:05 2022	1668477725	15	30181	30195	0
Mon Nov 14 21:01:36 2022	1668477696	21	30177	30198	0
Mon Nov 14 21:02:34 2022	1668477754	13	30187	30201	0
Mon Nov 14 21:00:34 2022	1668477634	28	30183	30211	0
Mon Nov 14 21:00:31 2022	1668477631	13	30203	30215	0
Mon Nov 14 21:00:00 2022	1668477600	206	30011	30217	0
Mon Nov 14 21:00:35 2022	1668477635	13	30213	30226	0
Mon Nov 14 21:02:08 2022	1668477728	22	30214	30235	0
Mon Nov 14 21:00:00 2022	1668477600	204	30036	30240	0
Mon Nov 14 21:02:34 2022	1668477754	25	30215	30241	0
Mon Nov 14 21:01:32 2022	1668477692	19	30226	30245	0
Mon Nov 14 21:01:03 2022	1668477663	14	30237	30250	0
Mon Nov 14 21:00:00 2022	1668477600	199	30052	30251	0
Mon Nov 14 21:02:34 2022	1668477754	13	30249	30262	0
Mon Nov 14 21:00:00 2022	1668477600	209	30054	30264	0
Mon Nov 14 21:00:00 2022	1668477600	101	30163	30264	0
Mon Nov 14 21:00:35 2022	1668477635	21	30246	30268	0
Mon Nov 14 21:01:07 2022	1668477667	17	30254	30270	0
Mon Nov 14 21:00:00 2022	1668477600	104	30168	30272	0
Mon Nov 14 21:01:32 2022	1668477692	11	30266	30277	0
Mon Nov 14 21:02:33 2022	1668477753	16	30264	30279	0
Mon Nov 14 21:01:32 2022	1668477692	10	30279	30289	0
Mon Nov 14 21:00:32 2022	1668477632	15	30278	30294	0
Mon Nov 14 21:02:02 2022	1668477722	13	30292	30304	0
Mon Nov 14 21:00:32 2022	1668477632	33	30273	30307	0
Mon Nov 14 21:00:31 2022	1668477631	44	30264	30308	0
Mon Nov 14 21:00:00 2022	1668477600	98	30231	30329	0
Mon Nov 14 21:02:02 2022	1668477722	18	30332	30351	0
Mon Nov 14 21:01:39 2022	1668477699	10	30346	30356	0
Mon Nov 14 21:02:09 2022	1668477729	17	30348	30365	0
Mon Nov 14 21:00:00 2022	1668477600	295	30078	30374	0
Mon Nov 14 21:01:32 2022	1668477692	19	30361	30380	0
Mon Nov 14 21:01:06 2022	1668477666	31	30357	30387	0
Mon Nov 14 21:00:31 2022	1668477631	11	30384	30395	0
Mon Nov 14 21:00:31 2022	1668477631	22	30393	30414	0
Mon Nov 14 21:00:33 2022	1668477633	107	30311	30418	0
Mon Nov 14 21:01:02 2022	1668477662	15	30405	30421	0
Mon Nov 14 21:00:00 2022	1668477600	105	30319	30424	0
Mon Nov 14 21:01:02 2022	1668477662	39	30387	30426	0
Mon Nov 14 21:02:04 2022	1668477724	18	30413	30431	0
Mon Nov 14 21:02:32 2022	1668477752	14	30426	30440	0
Mon Nov 14 21:00:34 2022	1668477634	33	30408	30441	0
Mon Nov 14 21:01:06 2022	1668477666	20	30424	30444	0
Mon Nov 14 21:01:03 2022	1668477663	14	30434	30448	0
Mon Nov 14 21:01:34 2022	1668477694	22	30431	30452	0
Mon Nov 14 21:02:10 2022	1668477730	15	30437	30452	0
Mon Nov 14 21:00:31 2022	1668477631	29	30426	30454	0
Mon Nov 14 21:02:08 2022	1668477728	23	30434	30457	0
Mon Nov 14 21:01:01 2022	1668477661	80	30392	30472	0
Mon Nov 14 21:02:06 2022	1668477726	20	30456	30476	0
Mon Nov 14 21:00:00 2022	1668477600	95	30384	30479	0
Mon Nov 14 21:02:04 2022	1668477724	24	30461	30485	0
Mon Nov 14 21:00:31 2022	1668477631	23	30467	30490	0
Mon Nov 14 21:00:00 2022	1668477600	209	30285	30495	0
Mon Nov 14 21:01:35 2022	1668477695	27	30480	30507	0
Mon Nov 14 21:01:02 2022	1668477662	17	30492	30508	0
Mon Nov 14 21:00:33 2022	1668477633	12	30500	30512	0
Mon Nov 14 21:00:00 2022	1668477600	299	30219	30517	0
