starttime	seconds	ctime	dtime	ttime	wait
Sat Dec 03 21:13:52 2022	1670120032	0	193	193	193
Sat Dec 03 21:13:52 2022	1670120032	63	251	314	251
Sat Dec 03 21:13:51 2022	1670120031	21	323	344	320
Sat Dec 03 21:13:52 2022	1670120032	64	448	512	448
Sat Dec 03 21:13:52 2022	1670120032	62	472	534	472
Sat Dec 03 21:13:52 2022	1670120032	65	577	642	577
Sat Dec 03 21:13:52 2022	1670120032	62	690	752	690
Sat Dec 03 21:13:52 2022	1670120032	63	802	865	802
Sat Dec 03 21:13:52 2022	1670120032	66	901	967	901
Sat Dec 03 21:13:52 2022	1670120032	67	1058	1125	1058
Sat Dec 03 21:13:52 2022	1670120032	66	1161	1227	1161
Sat Dec 03 21:13:52 2022	1670120032	67	1273	1340	1273
Sat Dec 03 21:13:52 2022	1670120032	67	1385	1452	1385
Sat Dec 03 21:13:52 2022	1670120032	68	1489	1557	1489
Sat Dec 03 21:13:52 2022	1670120032	68	1593	1661	1593
Sat Dec 03 21:13:52 2022	1670120032	68	1708	1776	1708
Sat Dec 03 21:13:52 2022	1670120032	70	1820	1889	1819
Sat Dec 03 21:13:52 2022	1670120032	68	1934	2002	1934
Sat Dec 03 21:13:52 2022	1670120032	71	2043	2113	2043
Sat Dec 03 21:13:52 2022	1670120032	71	2150	2221	2150
Sat Dec 03 21:13:52 2022	1670120032	72	2245	2317	2245
Sat Dec 03 21:13:52 2022	1670120032	71	2385	2456	2385
Sat Dec 03 21:13:52 2022	1670120032	72	2467	2539	2467
Sat Dec 03 21:13:52 2022	1670120032	72	2568	2640	2567
Sat Dec 03 21:13:52 2022	1670120032	73	2680	2753	2680
Sat Dec 03 21:13:52 2022	1670120032	72	2790	2862	2790
Sat Dec 03 21:13:52 2022	1670120032	73	2890	2963	2889
Sat Dec 03 21:13:52 2022	1670120032	74	3005	3079	3005
Sat Dec 03 21:13:52 2022	1670120032	75	3116	3191	3116
Sat Dec 03 21:13:52 2022	1670120032	73	3217	3290	3217
Sat Dec 03 21:13:52 2022	1670120032	75	3330	3405	3330
Sat Dec 03 21:13:52 2022	1670120032	99	3409	3508	3409
Sat Dec 03 21:13:52 2022	1670120032	75	3528	3604	3528
Sat Dec 03 21:13:52 2022	1670120032	99	3618	3717	3618
Sat Dec 03 21:13:52 2022	1670120032	76	3750	3826	3750
Sat Dec 03 21:13:52 2022	1670120032	76	3853	3929	3853
Sat Dec 03 21:13:52 2022	1670120032	99	3948	4047	3948
Sat Dec 03 21:14:03 2022	1670120043	0	4292	4292	4292
Sat Dec 03 21:13:52 2022	1670120032	156	4142	4298	4142
Sat Dec 03 21:13:52 2022	1670120032	157	4141	4298	4141
Sat Dec 03 21:14:30 2022	1670120070	0	4321	4321	4321
Sat Dec 03 21:13:52 2022	1670120032	0	4331	4331	4331
Sat Dec 03 21:14:30 2022	1670120070	0	4333	4333	4333
Sat Dec 03 21:14:28 2022	1670120068	0	4339	4339	4338
Sat Dec 03 21:14:08 2022	1670120048	0	4339	4339	4339
Sat Dec 03 21:14:02 2022	1670120042	0	4349	4349	4349
Sat Dec 03 21:14:09 2022	1670120049	0	4354	4354	4354
Sat Dec 03 21:14:03 2022	1670120043	0	4356	4356	4356
Sat Dec 03 21:14:12 2022	1670120052	0	4357	4357	4357
Sat Dec 03 21:14:03 2022	1670120043	0	4360	4360	4360
Sat Dec 03 21:14:27 2022	1670120067	0	4362	4362	4362
Sat Dec 03 21:14:23 2022	1670120063	0	4366	4366	4366
Sat Dec 03 21:13:52 2022	1670120032	0	4366	4366	4366
Sat Dec 03 21:14:03 2022	1670120043	0	4367	4367	4367
Sat Dec 03 21:14:03 2022	1670120043	0	4368	4368	4368
Sat Dec 03 21:14:29 2022	1670120069	0	4377	4377	4377
Sat Dec 03 21:14:21 2022	1670120061	0	4379	4379	4379
Sat Dec 03 21:14:08 2022	1670120048	0	4380	4380	4380
Sat Dec 03 21:14:15 2022	1670120055	0	4381	4381	4381
Sat Dec 03 21:14:02 2022	1670120042	0	4382	4382	4382
Sat Dec 03 21:14:08 2022	1670120048	0	4383	4383	4383
Sat Dec 03 21:14:15 2022	1670120055	0	4384	4384	4384
Sat Dec 03 21:14:20 2022	1670120060	0	4385	4385	4385
