starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 20 23:04:40 2022	1669003480	19	2871	2890	1459
Sun Nov 20 23:11:20 2022	1669003880	12	29239	29251	2232
Sun Nov 20 23:06:44 2022	1669003604	12	29876	29888	1702
Sun Nov 20 23:05:18 2022	1669003518	0	30000	30000	4509
Sun Nov 20 23:13:21 2022	1669004001	0	30012	30012	1759
Sun Nov 20 23:06:16 2022	1669003576	12	30003	30014	3760
Sun Nov 20 23:11:19 2022	1669003879	10	30004	30014	1989
Sun Nov 20 23:10:49 2022	1669003849	9	30005	30015	1608
Sun Nov 20 23:10:22 2022	1669003822	0	30015	30015	2126
Sun Nov 20 23:11:19 2022	1669003879	11	30005	30016	1608
Sun Nov 20 23:12:53 2022	1669003973	11	30007	30018	2126
Sun Nov 20 23:08:17 2022	1669003697	12	30010	30023	0
Sun Nov 20 23:10:19 2022	1669003819	12	30012	30024	3521
Sun Nov 20 23:12:22 2022	1669003942	10	30016	30026	3822
Sun Nov 20 23:11:47 2022	1669003907	11	30016	30027	0
Sun Nov 20 23:12:20 2022	1669003940	12	30016	30028	2232
Sun Nov 20 23:09:18 2022	1669003758	13	30015	30028	2690
Sun Nov 20 23:09:49 2022	1669003789	9	30019	30029	2251
Sun Nov 20 23:07:45 2022	1669003665	12	30017	30029	0
Sun Nov 20 23:07:46 2022	1669003666	17	30013	30030	3760
Sun Nov 20 23:09:16 2022	1669003756	14	30017	30030	0
Sun Nov 20 23:09:19 2022	1669003759	13	30019	30032	3521
Sun Nov 20 23:10:53 2022	1669003853	10	30025	30034	2370
Sun Nov 20 23:05:14 2022	1669003514	14	30024	30038	0
Sun Nov 20 23:08:17 2022	1669003697	9	30033	30042	2776
Sun Nov 20 23:12:19 2022	1669003939	10	30034	30044	1608
Sun Nov 20 23:09:49 2022	1669003789	12	30033	30045	3521
Sun Nov 20 23:08:53 2022	1669003733	11	30034	30045	2370
Sun Nov 20 23:08:17 2022	1669003697	0	30047	30047	2639
Sun Nov 20 23:12:50 2022	1669003970	11	30038	30048	2251
Sun Nov 20 23:14:26 2022	1669004066	0	30048	30048	1867
Sun Nov 20 23:08:15 2022	1669003695	11	30039	30050	0
Sun Nov 20 23:06:45 2022	1669003605	10	30041	30051	0
Sun Nov 20 23:08:16 2022	1669003696	11	30040	30051	3760
Sun Nov 20 23:08:49 2022	1669003729	10	30041	30051	3521
Sun Nov 20 23:13:21 2022	1669004001	13	30040	30053	2463
Sun Nov 20 23:05:13 2022	1669003513	15	30039	30054	0
Sun Nov 20 23:06:15 2022	1669003575	12	30044	30056	0
Sun Nov 20 23:09:19 2022	1669003759	14	30044	30058	2251
Sun Nov 20 23:10:47 2022	1669003847	12	30046	30058	0
Sun Nov 20 23:10:50 2022	1669003850	16	30046	30062	2246
Sun Nov 20 23:14:22 2022	1669004062	13	30051	30064	2869
Sun Nov 20 23:11:49 2022	1669003909	15	30048	30064	2690
Sun Nov 20 23:10:19 2022	1669003819	12	30053	30065	1989
Sun Nov 20 23:11:50 2022	1669003910	14	30058	30073	3083
Sun Nov 20 23:07:45 2022	1669003665	13	30061	30074	0
Sun Nov 20 23:07:44 2022	1669003664	9	30066	30075	1702
Sun Nov 20 23:10:47 2022	1669003847	28	30047	30075	0
Sun Nov 20 23:09:46 2022	1669003786	11	30066	30077	1444
Sun Nov 20 23:09:47 2022	1669003787	10	30071	30081	2754
Sun Nov 20 23:05:43 2022	1669003543	11	30075	30086	0
Sun Nov 20 23:07:47 2022	1669003667	0	30087	30087	2251
Sun Nov 20 23:07:15 2022	1669003635	12	30075	30087	0
Sun Nov 20 23:06:46 2022	1669003606	13	30075	30088	3760
Sun Nov 20 23:11:21 2022	1669003881	0	30089	30089	3822
Sun Nov 20 23:13:18 2022	1669003998	12	30077	30089	0
Sun Nov 20 23:06:46 2022	1669003606	21	30071	30092	0
Sun Nov 20 23:14:26 2022	1669004066	11	30082	30094	1674
Sun Nov 20 23:09:18 2022	1669003758	13	30081	30094	2776
Sun Nov 20 23:13:56 2022	1669004036	0	30095	30095	1674
Sun Nov 20 23:07:50 2022	1669003670	14	30081	30096	2120
Sun Nov 20 23:08:17 2022	1669003697	10	30086	30096	2251
Sun Nov 20 23:14:20 2022	1669004060	11	30085	30096	2919
Sun Nov 20 23:09:23 2022	1669003763	16	30080	30096	2370
Sun Nov 20 23:10:20 2022	1669003820	12	30085	30097	2246
Sun Nov 20 23:09:48 2022	1669003788	12	30086	30098	2690
Sun Nov 20 23:13:53 2022	1669004033	9	30091	30100	1975
Sun Nov 20 23:06:45 2022	1669003605	11	30090	30101	0
Sun Nov 20 23:12:20 2022	1669003940	11	30090	30102	1989
Sun Nov 20 23:05:13 2022	1669003513	39	30062	30102	0
Sun Nov 20 23:12:49 2022	1669003969	11	30092	30103	2800
Sun Nov 20 23:09:47 2022	1669003787	11	30093	30104	0
Sun Nov 20 23:07:15 2022	1669003635	11	30094	30105	0
Sun Nov 20 23:13:22 2022	1669004002	53	30052	30105	2010
Sun Nov 20 23:09:20 2022	1669003760	11	30095	30106	2833
Sun Nov 20 23:09:17 2022	1669003757	13	30094	30106	0
Sun Nov 20 23:11:18 2022	1669003878	10	30097	30107	2800
Sun Nov 20 23:12:18 2022	1669003938	15	30093	30108	2800
Sun Nov 20 23:10:51 2022	1669003851	12	30096	30108	2120
Sun Nov 20 23:09:17 2022	1669003757	0	30110	30110	1608
Sun Nov 20 23:07:47 2022	1669003667	10	30100	30110	2754
Sun Nov 20 23:12:54 2022	1669003974	13	30097	30110	2370
Sun Nov 20 23:04:43 2022	1669003483	44	30066	30111	0
Sun Nov 20 23:13:23 2022	1669004003	64	30048	30112	1599
Sun Nov 20 23:04:43 2022	1669003483	44	30068	30112	0
Sun Nov 20 23:04:43 2022	1669003483	34	30078	30112	0
