starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 21 18:46:45 2022	1669074405	32	1534	1566	735
Mon Nov 21 18:47:02 2022	1669074422	0	1657	1657	591
Mon Nov 21 18:46:44 2022	1669074404	9	1762	1772	1054
Mon Nov 21 18:47:01 2022	1669074421	0	1909	1909	840
Mon Nov 21 18:47:02 2022	1669074422	0	1966	1966	390
Mon Nov 21 18:46:45 2022	1669074405	37	2020	2056	1257
Mon Nov 21 18:47:00 2022	1669074420	0	2082	2082	1051
Mon Nov 21 18:47:03 2022	1669074423	0	2112	2112	756
Mon Nov 21 18:47:03 2022	1669074423	0	2157	2157	991
Mon Nov 21 18:46:45 2022	1669074405	45	2308	2353	1531
Mon Nov 21 18:47:02 2022	1669074422	0	2407	2407	548
Mon Nov 21 18:47:00 2022	1669074420	0	2496	2496	1045
Mon Nov 21 18:46:55 2022	1669074415	0	2555	2555	1016
Mon Nov 21 18:47:28 2022	1669074448	0	2783	2783	308
Mon Nov 21 18:47:21 2022	1669074441	0	2841	2841	319
Mon Nov 21 18:46:45 2022	1669074405	32	2834	2866	2114
Mon Nov 21 18:47:18 2022	1669074438	0	2966	2966	664
Mon Nov 21 18:47:05 2022	1669074425	0	3071	3071	1118
Mon Nov 21 18:47:04 2022	1669074424	0	3124	3124	1260
Mon Nov 21 18:47:03 2022	1669074423	0	3130	3130	925
Mon Nov 21 18:47:06 2022	1669074426	0	3136	3136	595
Mon Nov 21 18:47:23 2022	1669074443	0	3282	3282	327
Mon Nov 21 18:47:29 2022	1669074449	0	3399	3399	465
Mon Nov 21 18:47:25 2022	1669074445	0	3414	3414	1047
Mon Nov 21 18:47:07 2022	1669074427	0	3554	3554	568
Mon Nov 21 18:46:45 2022	1669074405	42	3532	3574	2663
Mon Nov 21 18:47:36 2022	1669074456	0	3795	3795	505
Mon Nov 21 18:47:04 2022	1669074424	0	3937	3937	990
Mon Nov 21 18:47:26 2022	1669074446	0	3999	3999	438
Mon Nov 21 18:46:45 2022	1669074405	44	4075	4119	3174
Mon Nov 21 18:46:57 2022	1669074417	0	4139	4139	2637
Mon Nov 21 18:47:50 2022	1669074470	0	4159	4159	830
Mon Nov 21 18:47:51 2022	1669074471	0	4235	4235	581
Mon Nov 21 18:47:08 2022	1669074428	0	4345	4345	851
Mon Nov 21 18:47:31 2022	1669074451	0	4427	4427	810
Mon Nov 21 18:47:48 2022	1669074468	0	4478	4478	389
Mon Nov 21 18:46:45 2022	1669074405	41	4471	4512	2884
Mon Nov 21 18:47:35 2022	1669074455	0	4533	4533	568
Mon Nov 21 18:47:18 2022	1669074438	0	4549	4549	975
Mon Nov 21 18:47:32 2022	1669074452	0	4551	4551	1070
Mon Nov 21 18:47:32 2022	1669074452	0	4644	4644	1133
Mon Nov 21 18:47:10 2022	1669074430	0	4662	4662	891
Mon Nov 21 18:47:00 2022	1669074420	0	4666	4666	1069
Mon Nov 21 18:47:42 2022	1669074462	0	4696	4696	404
Mon Nov 21 18:47:05 2022	1669074425	0	4702	4702	1822
Mon Nov 21 18:47:30 2022	1669074450	0	4774	4774	754
Mon Nov 21 18:47:31 2022	1669074451	0	4911	4911	394
Mon Nov 21 18:47:15 2022	1669074435	0	4920	4920	1007
Mon Nov 21 18:47:47 2022	1669074467	0	4944	4944	500
Mon Nov 21 18:47:40 2022	1669074460	0	4971	4971	569
Mon Nov 21 18:47:06 2022	1669074426	0	5053	5053	1228
Mon Nov 21 18:47:47 2022	1669074467	0	5060	5060	782
Mon Nov 21 18:47:47 2022	1669074467	0	5070	5070	363
Mon Nov 21 18:47:13 2022	1669074433	0	5071	5071	1074
