starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 20 22:39:27 2022	1669001967	15	2787	2803	1048
Sun Nov 20 22:39:48 2022	1669001988	0	10176	10176	6378
Sun Nov 20 22:39:50 2022	1669001990	0	10355	10355	3285
Sun Nov 20 22:39:51 2022	1669001991	0	10538	10538	1600
Sun Nov 20 22:39:49 2022	1669001989	0	10541	10541	5451
Sun Nov 20 22:39:52 2022	1669001992	0	11220	11220	1288
Sun Nov 20 22:39:53 2022	1669001993	0	12774	12774	1059
Sun Nov 20 22:41:44 2022	1669002104	0	12924	12924	1165
Sun Nov 20 22:39:54 2022	1669001994	0	13251	13251	1321
Sun Nov 20 22:39:58 2022	1669001998	0	13885	13885	1422
Sun Nov 20 22:41:46 2022	1669002106	0	14278	14278	1036
Sun Nov 20 22:41:57 2022	1669002117	0	14462	14462	1329
Sun Nov 20 22:41:41 2022	1669002101	0	14473	14473	1388
Sun Nov 20 22:41:31 2022	1669002091	0	14680	14680	1339
Sun Nov 20 22:40:12 2022	1669002012	0	14845	14845	1936
Sun Nov 20 22:40:57 2022	1669002057	0	14929	14929	1223
Sun Nov 20 22:41:29 2022	1669002089	0	14981	14981	1001
Sun Nov 20 22:41:47 2022	1669002107	0	15322	15322	1196
Sun Nov 20 22:41:50 2022	1669002110	0	15473	15473	2028
Sun Nov 20 22:41:36 2022	1669002096	0	15632	15632	2290
Sun Nov 20 22:41:01 2022	1669002061	0	15636	15636	2233
Sun Nov 20 22:42:11 2022	1669002131	0	15654	15654	3059
Sun Nov 20 22:42:10 2022	1669002130	0	15691	15691	2775
Sun Nov 20 22:41:00 2022	1669002060	0	15775	15775	2527
Sun Nov 20 22:41:06 2022	1669002066	0	15779	15779	1299
Sun Nov 20 22:40:03 2022	1669002003	0	15783	15783	2145
Sun Nov 20 22:41:52 2022	1669002112	0	15873	15873	1239
Sun Nov 20 22:40:02 2022	1669002002	0	15892	15892	2340
Sun Nov 20 22:41:50 2022	1669002110	0	16045	16045	1877
Sun Nov 20 22:41:48 2022	1669002108	0	16125	16125	1228
Sun Nov 20 22:40:27 2022	1669002027	0	16243	16243	1659
Sun Nov 20 22:39:59 2022	1669001999	0	16390	16390	2492
Sun Nov 20 22:40:06 2022	1669002006	0	16512	16512	1139
Sun Nov 20 22:42:05 2022	1669002125	0	16544	16544	4032
Sun Nov 20 22:41:16 2022	1669002076	0	16639	16639	2066
Sun Nov 20 22:42:00 2022	1669002120	0	16643	16643	1188
Sun Nov 20 22:42:08 2022	1669002128	0	16675	16675	2323
Sun Nov 20 22:40:30 2022	1669002030	0	16752	16752	1247
Sun Nov 20 22:41:53 2022	1669002113	0	16776	16776	1121
Sun Nov 20 22:41:12 2022	1669002072	0	16801	16801	1340
Sun Nov 20 22:40:13 2022	1669002013	0	16837	16837	1442
Sun Nov 20 22:40:07 2022	1669002007	0	16845	16845	1170
Sun Nov 20 22:40:58 2022	1669002058	0	16939	16939	2541
Sun Nov 20 22:41:33 2022	1669002093	0	16952	16952	2143
Sun Nov 20 22:40:53 2022	1669002053	0	16955	16955	1378
Sun Nov 20 22:39:56 2022	1669001996	0	16990	16990	2668
Sun Nov 20 22:41:33 2022	1669002093	0	16993	16993	1697
Sun Nov 20 22:41:14 2022	1669002074	0	17111	17111	1674
Sun Nov 20 22:40:43 2022	1669002043	0	17194	17194	1667
Sun Nov 20 22:41:10 2022	1669002070	0	17254	17254	923
Sun Nov 20 22:42:06 2022	1669002126	0	17333	17333	2963
Sun Nov 20 22:40:22 2022	1669002022	0	17555	17555	1184
Sun Nov 20 22:40:16 2022	1669002016	0	17651	17651	2055
Sun Nov 20 22:42:02 2022	1669002122	0	17661	17661	2706
Sun Nov 20 22:40:24 2022	1669002024	0	17670	17670	1140
Sun Nov 20 22:40:00 2022	1669002000	0	17752	17752	2856
Sun Nov 20 22:42:10 2022	1669002130	0	17828	17828	3325
Sun Nov 20 22:41:13 2022	1669002073	0	17887	17887	1368
Sun Nov 20 22:39:30 2022	1669001970	31	17922	17953	1458
Sun Nov 20 22:40:14 2022	1669002014	0	17964	17964	1257
Sun Nov 20 22:40:56 2022	1669002056	0	18046	18046	3334
Sun Nov 20 22:40:33 2022	1669002033	0	18051	18051	1259
Sun Nov 20 22:41:55 2022	1669002115	0	18205	18205	1255
Sun Nov 20 22:41:11 2022	1669002071	0	18265	18265	1428
Sun Nov 20 22:40:40 2022	1669002040	0	18314	18314	1362
Sun Nov 20 22:41:34 2022	1669002094	0	18366	18366	3335
Sun Nov 20 22:40:54 2022	1669002054	0	18486	18486	1947
